,Unnamed: 0,Angle,Balls,BatterId,BatterSide,Bearing,Direction_x,Distance,ExitSpeed_x,Extension,HangTime_x,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance_x,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult_x,3B_x,5_6_Hole_x,SS_x,Up_the_Middle_x,2B_x,3_4_Hole_x,1B_x,cluster #,Direction_y,HangTime_y,LastTrackedDistance_y,ExitSpeed_y,3B_y,5_6_Hole_y,SS_y,Up_the_Middle_y,2B_y,3_4_Hole_y,1B_y,PlayResult_y,hit_prob,shifted_hit_prob
0,8,-7.7566213820000005,1,8889923.0,0,38.43233841,41.41773951,16.32002459,91.77745099,6.450429023,0.10706237800000001,,-0.633518932,-12.19696156,1.6925136840000001,9.174813029,6,14.89088441,1,0,4,226,8881736.0,0,2,1.951473945,-0.602072403,,,,6.449975104,-1.140849645,86.90814187,2,127.0535205,2015.356484,0,-7.565957139,-27.12742246,-2.433668308,79.40812374,0.433648854,11.61744309,27.32742548,-22.88061693,7.279779457,5.82349594,-3.390628436,-126.422655,-6.142709805,1.0267296590000001,50.0,6.2655954660000015,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,41.41773951,0.10706237800000001,14.89088441,91.77745099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
1,12,-14.32489497,0,8889925.0,1,36.63718801,39.14485021,6.435745548,71.80906034,6.318794981,0.05545166,,-1.522404906,8.895866954,-3.209069441,10.40300839,8,6.435745548,1,1,4,284,8886471.0,1,1,1.548308988,-0.170299521,,,,5.420025759,2.0466871280000003,90.59111157,0,220.44894469999997,2090.827777,0,-6.474358677000001,-23.12852499,-2.107098315,82.80586155,0.41677170399999997,-10.14165111,28.64268658,-21.13670574,-5.912494146,6.4346746,7.111929506,-131.6626867,-5.553937185,-1.816595009,50.0,5.254882788,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,39.14485021,0.05545166,6.435745548,71.80906034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2,21,-8.119500298,1,8889933.0,1,32.58026195,34.95479154,15.02613058,82.85727257,6.292926753,0.11412658699999999,,-1.271877449,-11.95354226,0.991693756,14.64281265,5,13.63055522,1,1,3,183,1110018.0,0,3,2.051766058,-0.44916517899999997,,,,5.833336885,-0.36682111100000003,89.03795717,0,140.8359,2353.711824,1,-6.0455687320000004,-19.86208037,-2.306332514,81.79006529,0.422777495,11.60469535,26.49491863,-17.45313567,6.925518717999999,8.785233448,-1.882985746,-129.6067138,-5.81970359,0.299846866,50.0,5.654231416,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.95479154,0.11412658699999999,13.63055522,82.85727257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
3,33,-16.2574958,0,8889918.0,1,34.044898100000005,34.03432823,8.819758171,98.42884675,6.40986262,0.062208862000000004,,-0.25470798699999997,16.81279019,-3.4774409339999997,9.605018807,3,8.728877292,1,1,2,63,8886499.0,1,2,2.688118551,-0.23289589600000002,,,,5.2993864539999995,1.566798919,89.88398823,0,240.1778262,2047.7716149999999,1,-5.342386086,-24.85446321,-0.586366119,80.63969138,0.4224992,-17.68595585,32.71866769,-22.87058421,-10.76678735,5.663726807000001,7.444044617,-130.5595064,-2.062617337,-1.325961293,50.0,5.246168527,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.03432823,0.062208862000000004,8.728877292,98.42884675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
4,41,1.41928266,0,8889937.0,0,33.61617956,35.31402646,60.35532099,81.12039778,5.520873904,0.527496948,2878.548787,0.251730107,-15.22447684,3.09073186,9.685401177000001,7,57.34482911,1,0,6,218,999814.0,0,2,1.7301733330000002,-0.052495310999999996,,,,5.367219126,-1.675875699,78.44740339,0,122.5786825,1676.499851,1,-7.3735307279999995,-36.13208834,-0.668683547,72.19072231,0.487177433,11.785766,20.27570616,-25.13575914,9.01774874,5.385269442999999,-5.6904329229999995,-113.99904540000001,-2.43612585,1.417200655,50.0,5.285031299,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,35.31402646,0.527496948,57.34482911,81.12039778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
5,42,-15.01191483,1,8889949.0,1,35.11831998,42.72078545,9.990371585,51.05912622,5.483116159,0.09657959,,-0.62992001,-15.41085255,2.239327264,9.166308961,7,9.990371585,1,2,7,220,999814.0,0,2,1.906601781,-0.998219662,,,,5.319058503,-1.809895094,78.72588458,0,120.86099709999999,1745.065237,0,-7.1281420460000025,-36.19905496,-0.422841023,72.67488099,0.48476774799999994,11.70517755,19.83155566,-25.52664307,8.87036116,5.037504743,-4.000720895,-114.5079125,-1.966036635,1.624168918,50.0,5.257569891,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,42.72078545,0.09657959,9.990371585,51.05912622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
6,45,-6.41390725,0,1110021.0,0,29.20482607,34.91223061,24.22211831,96.94968641,6.789972982999999,0.16226257300000002,,0.669907376,16.73423745,-2.55668911,9.730131185,1,22.11159329,1,1,4,12,8889935.0,1,1,2.5010983469999997,0.852296055,,,,5.249145667,1.7927423480000002,90.42756205,1,239.7438884,2284.617198,0,-5.397155136,-23.64476097,-0.851149321,81.53545063,0.415797098,-17.57474184,32.30763657,-22.31355678,-10.47947307,5.8796174070000005,5.4218487820000005,-131.57287209999998,-2.596978176,-1.6334983790000002,50.0,5.184996261,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.91223061,0.16226257300000002,22.11159329,96.94968641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
7,62,0.49602049200000004,1,8889923.0,0,33.90747404,34.94409459,43.58832903,70.86086091,5.906520485,0.414194946,3361.753111,-0.7679486809999999,9.251134897,-2.527459772,16.12085439,1,41.51547187,1,1,3,32,8882935.0,1,4,2.623915001,0.492803896,,,,6.155193776,2.0691093069999997,81.72287422,0,209.7886046,1610.4425039999999,2,-6.433507396,-26.41153585,-1.431699976,73.33321152,0.469387385,-8.205375688,27.35006817,-19.29504025,-5.885025828,9.237029407,4.9677919610000005,-118.6523581,-3.738233652,-1.871594552,50.0,6.02547344,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.94409459,0.414194946,41.51547187,70.86086091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
8,67,1.36086071,0,8889937.0,0,34.40557976,35.88891081,46.63033639,75.10168876,6.060298119,0.4298553470000001,3327.464733,-0.809466122,5.476555297999999,-1.8587480859999999,13.03388875,3,45.89113605,2,1,7,114,8882935.0,1,1,2.720551351,0.661595296,,,,6.0154590379999995,1.925916494,80.63172949,0,202.7267512,1514.87033,0,-6.6471450710000015,-30.66575675,-0.7985585,71.87365291,0.475784703,-4.952309243,28.35429472,-22.18237199,-3.6769001130000003,7.41843752,3.648623457,-117.1164645,-2.4850477719999997,-1.784743475,50.0,5.937493298,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,35.88891081,0.4298553470000001,45.89113605,75.10168876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
9,68,-19.10007908,2,8882914.0,0,21.82361651,38.74290906,6.758056045,77.51019407,5.290013382,0.046817017,,-2.527796731,-7.922666897999999,-1.039904375,5.00076008,4,4.86607907,1,1,2,126,8889947.0,1,7,1.6268896640000001,0.577510658,,,,5.865809671,2.2141546180000002,80.04507151,0,122.4792134,,2,-8.434123374,-40.19642002,-0.9468932040000001,72.42897876,0.483868319,5.175180322,25.59789332,-28.19105992,3.8560286539999997,2.967726213,2.36116932,-116.2224409,-3.197386185,-2.113996418,50.0,5.75124708,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,38.74290906,0.046817017,4.86607907,77.51019407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
