,Unnamed: 0,Angle,Balls,BatterId,BatterSide,Bearing,Direction_x,Distance,ExitSpeed_x,Extension,HangTime_x,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance_x,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult_x,3B_x,5_6_Hole_x,SS_x,Up_the_Middle_x,2B_x,3_4_Hole_x,1B_x,cluster #,Direction_y,HangTime_y,LastTrackedDistance_y,ExitSpeed_y,3B_y,5_6_Hole_y,SS_y,Up_the_Middle_y,2B_y,3_4_Hole_y,1B_y,PlayResult_y,hit_prob,shifted_hit_prob
0,2,1.5331787630000002,0,8886492.0,1,-35.94697820000001,-36.39754398,85.70989156,105.94419679999999,5.319046452,0.594855347,3130.124847,0.613972229,11.68432887,-1.5665178480000002,12.41556352,2,80.31288012,0,1,1,46,8889942.0,1,3,2.1830368,0.385317653,,,,6.31361684,0.881921871,86.48592705,0,223.17948379999999,2090.0617230000007,2,-6.890812797000001,-25.78246739,-2.110532044,78.99299040000002,0.44482788700000003,-10.56095248,26.30161959,-20.74682883,-6.663711067,7.210305196,3.031738723,-125.6328389,-5.523133108,-0.74855983,50.0,6.104357632999999,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-36.39754398,0.594855347,80.31288012,105.94419679999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5204653826121541,0.5204653826121541
1,5,-0.996017829,0,8889935.0,1,-36.44611370000001,-38.48822184,41.07104031,100.99563540000001,5.7655052589999976,0.282745972,,0.287397925,-13.35919339,2.8211361239999997,17.38509717,4,41.07104031,2,1,8,157,8886472.0,0,3,2.079530718,0.015410129,,,,5.616419379,-1.4986594119999999,90.77284756,0,142.5122022,2308.8060649999998,2,-5.519583119,-17.31082451,-2.246742679,81.27948772,0.423946186,14.04039192,33.52841868,-14.73556494,8.404180136,10.43818139,-6.0451165860000025,-131.6701112,-5.746551873,1.2733426190000001,50.0,5.420211984,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-38.48822184,0.282745972,41.07104031,100.99563540000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37187630484796985,0.37187630484796985
2,32,-20.86832018,2,8889949.0,1,-28.14541376,-36.62485509,7.089106289,76.67802356,6.475711482,0.047002563,,-0.112365423,11.66583643,-2.334071809,11.19824906,3,6.5539808960000006,0,1,1,61,8886499.0,1,4,1.753205903,0.278394026,,,,5.468777672000001,1.450469131,89.58583793,0,226.0898682,1956.899107,1,-6.30124214,-22.84698006,-1.9707326,81.85583093,0.419951995,-12.17734757,28.27993808,-20.61737119,-7.337984192,6.9639726820000005,4.973292333,-130.3358781,-5.152744756000001,-1.291704584,50.0,5.320011877,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-36.62485509,0.047002563,6.5539808960000006,76.67802356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.004412930507936341,-0.004412930507936341
3,35,0.286021109,2,1110021.0,0,-34.08982684,-34.3414874,63.32792825,84.81231992,5.333747498999999,0.53758728,1999.2375170000007,0.145985856,10.94687002,-1.905630468,15.2598106,4,62.30546426,0,0,4,87,8889942.0,1,6,3.176642642,0.39164519600000003,,,,6.21406279,1.2677125809999998,87.65789552,0,215.5918935,,2,-5.408195116,-22.1643778,-1.268044561,79.22754342,0.440299015,-10.37686958,29.02478898,-18.41217214,-6.465168468,8.574151265,3.855037077,-127.28999350000001,-3.5888012860000003,-1.103537719,50.0,6.084125646,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-34.3414874,0.53758728,62.30546426,84.81231992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.22035472491833197,0.22035472491833197
4,43,-24.22528499,2,8889924.0,0,-41.07282308,-34.27868247,4.8642936610000005,89.77413639,7.426252307,0.031470947,,-0.11424799599999999,1.636721568,-0.431515408,11.78154267,8,4.8642936610000005,1,1,2,247,8882060.0,1,5,1.8302473519999998,0.918001203,,,,5.532596252,1.170654657,84.49952538,0,187.8862125,1670.999722,2,-6.60992138,-24.97466255,-1.797482855,77.48877738,0.436351881,-1.6220885040000002,25.14853286,-21.07199312,-1.08192578,7.405021337000001,0.892575569,-123.2427462,-4.411396073,-1.147956457,50.0,5.429409017,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-34.27868247,0.031470947,4.8642936610000005,89.77413639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06022306572676461,-0.06022306572676461
5,61,0.076559287,0,8882666.0,1,-39.25677933,-40.08659545,76.63793559,104.1002573,5.641623026,0.532766724,2299.748287,0.40043208799999996,14.09536341,-2.232605184,9.303007551,2,72.41339381,1,0,2,58,8889952.0,1,1,2.2592644159999997,0.099283761,,,,5.753446053999999,1.008105773,84.88254411,0,236.47174219999997,1927.269118,0,-6.596928059,-29.52863248,-1.107037949,78.19932277,0.44850200100000004,-12.58681001,23.29199642,-24.01558608,-8.239860607,5.340876164,4.355598132,-123.46371540000001,-3.346585985,-0.8277134979999999,50.0,5.6407204029999995,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-40.08659545,0.532766724,72.41339381,104.1002573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6654081777517735,0.6654081777517735
6,71,-56.58128936,1,8889929.0,1,-9.555059082,-35.83632729,3.267507092,54.14367332,4.933302203,0.040457152999999996,,-3.219550317,-11.2822259,-1.114078704,-9.090782973,6,2.818350379,0,1,1,198,8882937.0,1,4,2.635667196,-0.499556765,,,,5.560483583,1.4936505430000002,75.58481872,0,51.28889883,,2,-8.988621997000001,-60.59560729,2.246725974,68.38674706,0.516529909,6.602053753,22.92050923,-38.75228902,5.537247616,-5.517275028999999,2.487275511,-109.59371159999999,2.388294584,-1.376426046,50.0,5.730578153,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-35.83632729,0.040457152999999996,2.818350379,54.14367332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.08569496454515768,-0.08569496454515768
7,83,-6.408699575,0,8891699.0,1,-37.57330991,-40.56835194,22.10234432,102.8621441,5.457844047999999,0.146448364,,0.45926838200000003,16.20724115,-2.57821336,9.024280088,2,20.70224096,2,1,4,54,8889942.0,1,1,2.90245858,0.17966913399999998,,,,6.0199149720000005,1.2436998879999999,87.80762633,0,240.7968857,2177.563164,0,-6.064037762999999,-27.98497103,-0.838237883,79.74606543,0.437851324,-15.35859985,28.17780565,-23.91608822,-9.400478779,5.05441783,5.188052,-127.53141219999999,-2.825301731,-1.0276224390000002,50.0,5.927243483,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-40.56835194,0.146448364,20.70224096,102.8621441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3953239193830549,0.3953239193830549
8,88,2.988498388,1,8891688.0,1,-38.37134241,-36.46181001,83.79542863,100.00982090000001,6.291294538,0.607577515,3146.43452,1.169556285,8.912047397,-0.533613676,16.92240832,7,81.06775822,1,1,5,197,8889941.0,1,2,2.404685083,0.810485725,,,,5.832606827,0.55948742,89.54275723,1,207.7277239,2154.825884,0,-5.48978573,-17.75207382,-2.113813003,80.76526646,0.423815182,-8.562681743999999,31.49127367,-15.3095575,-5.069036594,9.983638872,0.946666975,-130.2207546,-5.336782447,-0.524583286,50.0,5.668768994,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-36.46181001,0.607577515,81.06775822,100.00982090000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.49428944010404097,0.49428944010404097
9,98,-2.88510099,1,8892230.0,1,-35.630623299999996,-39.09036093,33.86755671,89.3342444,6.422693142999999,0.257236938,,-0.786990374,13.10063771,-3.299273503,15.09225396,4,32.54104181,2,1,3,81,8889936.0,1,2,2.9468851430000003,-0.18270757899999998,,,,5.354812143,1.761229091,87.47351326,0,220.89500440000003,2146.702225,0,-4.765943968,-21.28274309,-0.6890392940000001,78.38153293,0.434083224,-13.38329212,31.14905769,-18.44956034,-8.360279236,8.573417724,6.955380014,-127.07733929999999,-2.132314371,-1.532166624,50.0,5.296099868,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-39.09036093,0.257236938,32.54104181,89.3342444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.31000847756630723,0.31000847756630723
