,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult
8,19.45147454,1,8886469.0,1,-24.70989405,-18.23701189,348.8554824,98.56749894,5.5108905,4.075188599,1953.169124,-0.041085652,17.66801571,-3.358336421,13.10452392,1,338.0771458,1,0,2,9,8889942.0,1,4,2.465475481,-0.395239023,103.439012,37.99881484,-37.42152786,6.176307231,1.2760558000000002,82.12748149,0,233.3520278,,2,-6.832330692999999,-29.29902777,-1.354905536,74.43344414,0.468675915,-14.88561902,25.21870016,-21.63338365,-10.54758754,7.468858747,6.433904448,-119.1621817,-3.749734231,-0.994998255,50.0,6.038824411,Double
18,-5.922391283,1,8889924.0,0,-19.20177278,-20.17872184,21.66660557,97.49085055,5.5546332000000005,0.14956481900000002,,0.126277679,12.21149232,-2.152218382,8.150857001,1,21.44020473,0,0,1,19,8886490.0,1,3,2.480116274,0.084186817,,,,5.083775543,1.07817949,91.12500897,0,236.1748216,2200.468438,1,-5.273918622,-25.66884412,-0.49693188,83.68631218,0.418558727,-12.63462961,27.07070367,-24.18485038,-7.167703147999999,4.532321302,4.549448607,-132.5447327,-2.05788163,-0.900392903,50.0,5.024001356,Single
26,-1.774046741,3,8889923.0,0,-0.62433201,0.190045145,33.65103236,102.6935971,5.549674913,0.222020874,,0.742815102,14.11470192,-1.891360506,4.2249508360000005,1,33.11731665,1,0,3,27,8886490.0,1,5,1.510897612,0.492579339,,,,4.965453934,1.084129105,89.42225239,1,253.2130139,,1,-6.679338969,-30.90602053,-0.94025432,82.32361432,0.426595822,-13.7899421,26.14142111,-27.87543864,-8.148385381,2.540020104,3.805335254,-130.07264890000002,-3.208802303,-0.92998193,50.0,4.863850182,Single
30,15.98800166,2,8889935.0,1,-29.29669066,-20.39716055,277.1008194,103.9757267,5.252559229,2.546309204,1812.647997,-1.831816466,-5.6215307060000015,-0.791529635,3.898038329,1,272.14353930000004,1,0,4,31,8886490.0,1,4,2.492900439,-0.225285761,100.8221606,26.47208281,-43.98738511,5.134113509,0.986867674,85.62006513,1,124.9864061,2208.333849,1,-6.123736289,-34.6167182,0.259167132,79.21802887,0.446668264,4.3837058660000014,22.60828703,-29.02002163,2.7598965630000003,1.985714445,1.918590141,-124.6146262,-0.649094163,-0.910256595,50.0,5.132413342,Single
45,1.5331787630000002,0,8886492.0,1,-35.94697820000001,-36.39754398,85.70989156,105.9441968,5.319046452,0.594855347,3130.124847,0.613972229,11.68432887,-1.5665178480000002,12.41556352,2,80.31288012,0,1,1,46,8889942.0,1,3,2.1830368,0.385317653,,,,6.31361684,0.881921871,86.48592705,0,223.1794838,2090.0617230000007,2,-6.890812797000001,-25.78246739,-2.110532044,78.99299040000002,0.444827887,-10.56095248,26.30161959,-20.74682883,-6.663711067,7.210305196,3.031738723,-125.6328389,-5.523133108,-0.74855983,50.0,6.104357632999999,Out
52,7.450103232000001,0,8886477.0,0,25.00970424,23.96013299,212.8224869,104.547354,5.584222692999999,1.755407715,972.1864084,0.159922432,12.40801214,-2.170258812,6.962383219,2,212.8224869,1,0,3,53,8889942.0,1,1,1.924189533,-0.001856816,100.202902,10.53262888,45.37975078,6.067704423,0.991515821,86.76950437,0,240.5780376,2095.640842,0,-7.426762026,-30.73071726,-1.693263528,79.08913436,0.441878071,-11.62819328,27.3634071,-25.42161512,-7.389771114,4.29120297,4.365727298,-126.0527426,-4.747420697,-0.813252627,50.0,5.9025460160000005,Single
53,29.67110614,0,8881728.0,0,0.122466297,3.500696716,309.8467266,83.77669528,5.236539417,4.685245972,,0.721717135,15.01645525,-2.1040145530000003,13.685833,2,305.2259905,1,1,4,54,8889942.0,1,1,2.740039332,0.679691192,109.9263187,56.40673831,4.020376115,6.027228432999999,1.406527505,79.99526756,0,227.5651231,1761.137553,0,-6.642082885,-31.88475476,-0.670018829,71.67547707,0.485863007,-11.57208979,26.40479492,-22.202485,-8.789422026,7.573764281,3.785127941,-116.0480429,-2.373637484,-1.223987714,50.0,5.942737781,Out
61,25.97598549,2,8886485.0,0,-28.89769793,-18.2232516,288.2149773999999,88.09007541,5.545241184,3.825686646,,0.362289915,15.78773711,-2.607172796,12.33881223,2,279.9285995,2,1,5,62,8889942.0,1,8,1.842954437,-0.128936435,102.01781,44.67675069,-41.13835057,6.215979037,0.993232667,88.2522165,0,231.9131207,,2,-7.057393583,-24.37351705,-2.502137616,79.93778162,0.436091366,-15.17553979,29.41551541,-20.07378694,-9.397908034,7.493449813,5.297709513,-128.046369,-6.423922285,-0.777932307,50.0,5.983447242,Out
62,31.73994315,0,8889937.0,0,4.650112222,8.43429633,361.0674344,91.95691569,5.667285626,5.183821411,3487.934783,-0.7466576709999999,7.844151837,-2.227132108,13.30701658,2,356.1932321999999,1,1,1,63,8886490.0,1,1,2.323575317,-0.7988874770000001,109.0477949,63.69861216,14.44210541,5.471972444,0.624758253,90.82343728,0,210.4572518,2266.633097,0,-5.470676114,-21.21590993,-1.479251605,81.89597126,0.42288796,-8.552502693,31.93728013,-18.94706013,-5.012525288,7.752188612,4.862950247,-131.89797579999998,-4.129747793,-0.441719018,50.0,5.333961071,Out
79,0.637003136,0,8881734.0,1,-21.9447801,-23.73958202,63.68671558,96.67719183,5.457647008,0.47048645,2216.016483,-0.315029364,10.6414138,-2.305939183,10.11453452,3,63.68671558,0,0,3,80,8889942.0,1,2,2.323458859,-0.434114864,,,,6.250541204,0.8384516540000001,86.70366351,1,226.3536047,2124.769706,1,-6.88559255,-27.73889022,-1.7241910669999998,79.11208876,0.442816818,-10.11899218,26.67562684,-22.77342051,-6.38409776,5.9308800160000015,4.710888457,-125.9415866,-4.733928802,-0.642638303,50.0,6.079939195,Single
92,5.343313619,1,8886477.0,0,21.01571024,21.82394606,131.84959270000002,103.0071548,6.071134245,1.029713135,1421.370866,-1.511762408,5.5106259710000005,-2.558990936,20.45260881,3,131.84959270000002,2,0,7,93,8889947.0,1,2,3.163952391,0.478304348,102.8323141,3.587269934,39.05745087,5.590172625,2.388283327,89.68942858,0,195.0563016,2017.23714,0,-4.059008043,-14.41810904,-1.322146575,80.73819904,0.425012754,-6.483088856,31.29421783,-12.58011979,-3.933134215,11.88716572,5.6522543060000014,-130.3193866,-3.460916459,-2.193308945,50.0,5.480263386,Single
97,41.02420883,2,8881728.0,0,-23.1392772,-15.97842899,279.19050330000005,83.43184339,6.3230431839999985,5.211891479,,-1.526976815,6.238447917,-2.717407862,18.14208713,3,117.2927531,2,1,8,98,8889947.0,1,5,3.400519431,0.412619315,103.4799697,89.65530056,-37.30810062,5.561183584,2.396871376,91.61154351,0,198.9461996,2124.234387,2,-3.841461699,-14.93305033,-0.99381064,82.52952981,0.413925657,-7.612338361,32.52720657,-13.96133399,-4.4369166280000005,10.61543671,6.131430457,-133.176291,-2.766555275,-2.201634863,50.0,5.481577859,Out
