,Batter_ID,Up_The_Middle_BIP,Up_The_Middle_Hit,Up_The_Middle_BIP+Hit,SS_BIP,SS_Hit,SS_BIP+Hit,3_4_Hole_BIP,3_4_Hole_Hit,3_4_Hole_BIP+Hit,1B_BIP,1B_Hit,1B_BIP+Hit,5_6_Hole_BIP,5_6_Hole_Hit,5_6_Hole_BIP+Hit,2B_BIP,2B_Hit,2B_BIP+Hit,3B_BIP,3B_Hit,3B_BIP+Hit
0,8889924,26,12,19.04761905,4,3,4.761904762,8,4,6.349206349,2,0,0,4,2,3.174603175,13,1,1.587301587,6,3,4.761904762
1,8889923,9,5,19.23076923,4,3,11.53846154,5,3,11.53846154,4,1,3.846153846,1,1,3.846153846,3,0,0,0,0,0
2,8886492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,8881734,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0
4,8889935,8,6,26.08695652,9,1,4.347826087,0,0,0,0,0,0,4,1,4.347826087,1,1,4.347826087,1,0,0
5,8886465,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
6,8881728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8886462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8886477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8889949,2,1,20,1,1,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,8889925,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,8889921,6,3,15,2,1,5,1,1,5,0,0,0,6,4,20,3,0,0,2,0,0
12,8886496,3,1,16.66666667,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,8880671,2,1,11.11111111,2,0,0,0,0,0,0,0,0,1,1,11.11111111,2,1,11.11111111,2,0,0
14,1110021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,25,1,1,25
15,8889933,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,999804,3,1,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8889937,28,16,20.25316456,4,1,1.265822785,13,4,5.063291139,12,3,3.797468354,4,1,1.265822785,17,3,3.797468354,1,1,1.265822785
18,1110015,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
19,1110014,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8886500,1,0,0,1,1,33.33333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,8889918,2,0,0,1,0,0,1,0,0,1,0,0,4,2,16.66666667,2,0,0,1,0,0
22,1110024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8882062,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8889917,19,10,16.94915254,9,1,1.694915254,2,2,3.389830508,2,1,1.694915254,12,7,11.86440678,4,0,0,11,4,6.779661017
25,8882669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8882666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
27,8882922,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8882904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8889922,21,7,11.66666667,6,1,1.666666667,12,3,5,6,1,1.666666667,3,2,3.333333333,12,2,3.333333333,0,0,0
30,8882914,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,8882916,0,0,0,1,1,33.33333333,0,0,0,0,0,0,0,0,0,2,1,33.33333333,0,0,0
32,8889929,8,5,20.83333333,6,1,4.166666667,1,0,0,2,0,0,3,2,8.333333333,0,0,0,4,0,0
33,8892222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,8882903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8891699,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,1,0,0,1,0,0
36,8891688,0,0,0,0,0,0,0,0,0,0,0,0,2,2,66.66666667,0,0,0,1,0,0
37,8891705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,8891689,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8891690,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0
40,8891749,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
41,8881867,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8881866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8881863,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,8881877,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8881884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,8892230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,8892229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8882674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8882681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,8882690,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,25
51,8888946,19,6,8.955223881,15,5,7.462686567,3,1,1.492537313,3,0,0,10,6,8.955223881,8,4,5.970149254,9,4,5.970149254
52,8882664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
53,8882695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,8882687,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,8892804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0
56,8886413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8892832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8886417,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
59,8892824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8892755,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8892770,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,8892742,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,8892751,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8892773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8892736,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8892788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8889926,6,1,5.263157895,6,2,10.52631579,0,0,0,0,0,0,3,1,5.263157895,0,0,0,4,0,0
68,8892953,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,8880258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,8880262,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,8888763,14,5,10,8,1,2,2,0,0,1,1,2,17,7,14,4,1,2,4,0,0
72,8892954,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,8880259,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
74,8880246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,8880257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,8892789,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33.33333333,1,0,0,0,0,0
77,8892803,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,8892785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0
79,8892778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,8884131,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0
81,8884118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
