,Batter_ID,BIP_middle,actual_hits_middle,expected_hits_middle,shifted_hits_middle,BIP_SS,actual_hits_SS,expected_hits_SS,shifted_hits_SS,BIP_3_4,actual_hits_3_4,expected_hits_3_4,shifted_hits_3_4BIP_1B,actual_hits_1B,expected_hits_1B,shifted_hits_1B,BIP_5_6,actual_hits_5_6,expected_hits_5_6,shifted_hits_5_6BIP_2B,actual_hits_2B,expected_hits_2B,shifted_hits_2BBIP_3B,actual_hits_3B,expected_hits_3B,shifted_hits_3BBIP,total_expected_hits,total_shifted_hits,BIP,BIP_1B,BIP_2B,BIP_3B,shifted_hits_2B,shifted_hits_3B,shifted_hits_3_4,shifted_hits_5_6
0,8889924.0,26,12,7,0,4,3,0,0,8,4,1,,0,0,0,4,2,1,,1,1,,3,1,,11,2,63.0,2.0,13.0,6.0,0.0,1.0,1.0,0.0
1,8889923.0,9,5,3,0,4,3,2,2,5,3,3,,1,0,0,1,1,0,,0,0,,0,0,,8,5,26.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0
2,8886492.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,8881734.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,8889935.0,8,6,1,0,9,1,1,2,0,0,0,,0,0,0,4,1,3,,1,1,,0,0,,6,2,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,8886465.0,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,8881728.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8886462.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8886477.0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,8889949.0,2,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10,8889925.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8889921.0,6,3,0,0,2,1,0,1,1,1,0,,0,0,0,6,4,3,,0,0,,0,0,,3,3,20.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0
12,8886496.0,3,1,1,0,2,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,,0,0,,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,8880671.0,2,1,0,0,2,0,0,0,0,0,0,,0,0,0,1,1,0,,1,0,,0,0,,0,1,9.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
14,1110021.0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,0,,1,0,,1,0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
15,8889933.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,999804.0,3,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8889937.0,28,16,8,1,4,1,1,2,13,4,5,,3,1,0,4,1,3,,3,4,,1,0,,22,10,79.0,12.0,17.0,1.0,0.0,0.0,5.0,2.0
18,1110015.0,0,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1110014.0,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8886500.0,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,1,0,0,,0,0,,0,0,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,8889918.0,2,0,0,0,1,0,0,0,1,0,0,,0,0,0,4,2,2,,0,0,,0,0,,2,1,12.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
22,1110024.0,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8882062.0,3,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8889917.0,19,10,4,0,9,1,1,1,2,2,2,,1,0,0,12,7,7,,0,0,,4,0,,14,11,59.0,2.0,4.0,11.0,0.0,0.0,2.0,8.0
25,8882669.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8882666.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,8882922.0,3,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8882904.0,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,8889922.0,21,7,3,0,6,1,0,1,12,3,4,,1,0,0,3,2,1,,2,3,,0,0,,11,7,60.0,6.0,12.0,0.0,0.0,0.0,4.0,2.0
30,8882914.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8882916.0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,,1,0,,0,0,,0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
32,8889929.0,8,5,3,0,6,1,2,4,1,0,0,,0,0,0,3,2,2,,0,0,,0,0,,7,6,24.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0
33,8892222.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,8882903.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8891699.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,2,,0,0,,0,0,,2,1,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
36,8891688.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,1,,0,0,,0,1,,2,3,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
37,8891705.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,8891689.0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8891690.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,8891749.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,,0,0,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,8881867.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8881866.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8881863.0,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
