,Bearing,Launch Angle,Exit Speed,Hit Spin Rate,Hang Time,Position at 110Y,Position at 110X,Last Tracked Distance,Play Result
Cluster 1,-14.451362662945767,-10.898609048599061,87.81153749426893,1992.5437145768517,0.2248833278254715,1.7903290505714282,103.74520097142856,27.473359437976423,0.21462264150943397
Cluster 2,0.032898031351893064,-10.290920805858566,89.02310359302908,1417.4378465112243,0.22439677623273963,1.821176882318182,108.88725751818184,27.18662304970492,0.36971046770601335
Cluster 3,15.213640611721736,-9.687383767414497,88.0898707263478,2271.4593862134016,0.24351074572753637,1.5751373961250001,102.57613851250002,29.57258108920871,0.20579710144927535
Cluster 4,-24.01274359957142,-11.225483923648577,85.50944395071431,2651.392075349999,0.21425886404285702,0.7771025629999999,95.01412348,25.978234664011435,0.43714285714285717
Cluster 5,24.693836522940302,-11.412301400697762,84.90954944395536,2831.654417941667,0.21719407267910457,1.0669531319999999,93.1620247,25.766966542929104,0.3880597014925373
Cluster 6,-33.26612001979351,-13.543880598506062,83.41952118716605,3491.6175407906976,0.1835643591781376,1.282825168,82.48611062,22.03228529994738,0.2145748987854251
Cluster 7,32.263808791069145,-15.494832390930851,81.45251013803191,3412.6005062800004,0.1854385635638298,1.830480492,83.69117338000001,21.770234783952112,0.14361702127659576
Cluster 8,,,,,,,,,
Cluster 9,,,,,,,,,
Cluster 10,,,,,,,,,
