,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult,cluster #
5,53,3,1,8889942.0,1,8886477.0,0,2,1,0,0,0,0,86.76950437,-1.693263528,-2.170258812,2095.640842,240.5780376,6.067704423,0.991515821,5.584222692999999,-30.73071726,6.962383219,12.40801214,1.924189533,-0.001856816,79.08913436,-7.426762026,0.159922432,0.441878071,104.547354,7.450103232000001,23.96013299,972.1864084,100.202902,10.53262888,45.37975078,212.8224869,212.8224869,25.00970424,1.755407715,-7.389771114,4.29120297,-0.813252627,50.0,5.9025460160000005,4.365727298,-126.0527426,-4.747420697,-11.62819328,27.3634071,-25.42161512,1,0
10,93,7,2,8889947.0,1,8886477.0,0,3,2,1,0,0,0,89.68942858,-1.322146575,-2.558990936,2017.23714,195.0563016,5.590172625,2.388283327,6.071134245,-14.41810904,20.45260881,5.5106259710000005,3.163952391,0.478304348,80.73819904,-4.059008043,-1.511762408,0.425012754,103.0071548,5.343313619,21.82394606,1421.370866,102.8323141,3.587269934,39.05745087,131.84959270000002,131.84959270000002,21.01571024,1.029713135,-3.933134215,11.88716572,-2.193308945,50.0,5.480263386,5.6522543060000014,-130.3193866,-3.460916459,-6.483088856,31.29421783,-12.58011979,1,0
13,122,1,4,8889947.0,1,8886485.0,0,4,0,1,2,0,0,90.3314288,-1.64735549,-3.022351603,,180.1408236,5.689147697999999,1.771169729,6.35515314,-15.76149887,18.51414719,0.045584017,2.857163894,-1.00896374,80.84490714,-4.659965706,-3.013622512,0.421370709,44.82990103,27.87969951,4.12656395,2109.679122,109.8320133,1.204211456,6.072756104,111.7433617,111.42924709999998,3.130599494,2.209613647,-1.093569875,10.99144413,-1.5524086190000002,50.0,5.562489325,6.925072277999999,-131.184731,-4.243531456,-1.825847427,33.77070518,-13.82250062,1,0
15,128,4,3,8889947.0,1,8881734.0,1,4,2,1,1,1,0,79.39259539,-0.499911478,-2.013747356,2496.471986,101.0547887,5.593552477,2.310839172,5.818089324,-43.90354121,1.100080353,-5.847249138,1.469890547,-0.049250017,72.03385586,-8.746397686,-3.12062178,0.482831116,80.15112326,9.107328945,1.6373306580000002,2014.75457,109.8173937,5.182564268,6.335468071,138.7484348,138.7484348,3.714679955,1.3808843990000002,2.556090518,0.778845858,-2.142847874,50.0,5.527071331,4.224836604,-115.3536922,-2.275180528,3.299176367,25.06034215,-31.16878296,0,0
17,142,4,3,8886490.0,1,8889930.0,1,4,1,2,0,0,0,88.35927562,0.769969529,-2.028299452,2000.452846,264.7091167,4.886191923,1.155618642,5.712190525,-34.45862338,1.35024128,14.94394523,2.732345488,0.5108335829999999,81.08512623,-5.666931853,0.770846558,0.430691989,77.63953195,15.0548747,8.359212472000001,2289.199005,108.1373889,17.96498632,20.15700005,193.7652342,193.7652342,12.9270173,2.183850098,-8.816307282,0.531291547,-0.995338711,50.0,4.929253939,4.054091936,-128.5387132,0.579902975,-14.34535922,25.92988736,-31.30956325,1,0
18,144,5,2,8886490.0,1,8889924.0,0,4,1,1,0,0,1,89.66406985,-1.532444525,-1.658751686,2116.626158,223.73496040000003,5.472957516,0.478730011,5.664011068,-22.54083922,12.48217342,11.97431063,2.164881438,-0.07033495299999999,81.83796233,-5.745533916,0.58877057,0.425939845,89.38796695,17.67099934,-34.74194304,,86.56253221,28.84568013,-67.87408162,271.8106317,186.1802924,-40.40675413,3.038126831,-7.053504856,7.295158172000001,-0.346224391,50.0,5.329431493,3.368889159,-130.365749,-4.25399506,-11.81512095,28.13885006,-19.95414116,1,0
23,186,2,4,8886472.0,0,8889917.0,1,5,1,2,1,1,0,90.9826218,-1.414164211,2.34656753,2162.453955,155.2969076,5.636814593,-1.348966544,5.999088388,-14.39080889,19.23230664,-8.861672906,3.12602741,0.087812215,82.78773696,-4.1273069,0.6734581940000001,0.417340464,91.67253079,16.55197789,29.39211478,3054.891596,92.54857539,27.76239334,59.45328794,294.5299374,192.5848625,37.91123753,3.197356567,5.659905429,11.18631814,1.169442977,50.0,5.517731021,-5.134039237,-132.2989323,-3.735403113,9.676674289,29.20857127,-13.04893092,0,0
24,189,3,3,8886472.0,0,8889937.0,0,5,2,1,1,0,0,81.54061762,0.932682053,2.05317608,2267.249205,210.8199605,5.755425726,-1.181364133,5.68834157,-37.91444523,4.436298327,2.670415504,3.4656884710000004,0.955340856,74.47519726,-6.161522128,2.554187716,0.468383986,93.90537396,14.1034888,-16.27043706,1987.7680920000007,103.8240428,20.84270482,-36.33961892,229.0228654,229.0228654,-22.77161677,2.254436035,-0.8550537220000001,2.153579936,1.007250801,50.0,5.810265507,-4.33202645,-118.5503624,0.767091552,-1.186108002,23.50398504,-29.18665919,1,0
29,218,1,5,8881736.0,0,8889930.0,1,6,0,2,2,0,0,89.69729307,-3.047386892,1.639231491,2188.432046,141.0470227,6.551470106,-0.859288796,6.336209395,-18.63054137,15.8480905,-12.83821663,2.189730977,-0.419667038,81.20207421,-6.5802548660000015,-0.812405851,0.422616579,101.0659515,9.739341438,-3.896510464,704.9878614,109.88884740000002,15.76038499,-4.939129896,248.2513354,248.2513354,-1.095930753,2.2971850590000003,7.760543921,9.913222426,0.7462277759999999,50.0,6.3209726339999985,-3.34875379,-130.3362621,-7.494735184,12.86150832,30.79936201,-15.74491756,1,0
37,254,3,1,8881729.0,1,8889930.0,1,7,2,0,0,0,0,88.49838055,-2.134343933,-1.136099119,,194.6056139,5.636262791,0.946557556,7.185028515,-20.06692712,14.03704422,3.666200616,2.029506309,0.222888054,80.39452301,-6.001476697,-0.425919336,0.420314135,98.06292174,7.245474354,-2.8932836889999995,681.3938568,109.9338801,9.456354977,-3.80950233,191.5243582,190.6528841,-1.174002823,1.645665894,-2.483568019,8.807702953,-0.881976359,50.0,5.506520488,2.468101653,-128.92480849999998,-5.2909636330000005,-4.0447147260000005,29.54839346,-17.82990917,1,0
