,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
23,-1.478134094,0,1110021.0,0,10.24243698,11.65093548,43.03073199,117.3251058,5.9946535260000005,0.251427612,,-0.591289676,1.350138443,-0.845745634,14.60434432,7,43.03073199,2,0,4,236,8889947.0,1,2,1.914788884,0.570046255,,,,5.819032609,1.241218927,90.79528884,0,185.270508,2027.121795,1,-6.064854258,-19.01631891,-2.5015584090000003,83.23820643,0.417325245,-1.703509523,27.87298017,-16.98024051,-0.963531499,8.593854304,1.905844804,-132.0778851,-6.389255999,-1.175473576,50.0,5.611724955,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
39,-9.632180352,0,8889933.0,1,10.76902785,13.39709177,18.39306474,94.75875852,6.1279239610000005,0.124467163,,-1.7241928640000002,0.786733261,-1.874251658,14.87654216,6,17.51125067,0,2,3,154,999822.0,1,2,2.947164159,0.422575044,,,,5.588473862000001,2.089864127,86.6186459,0,183.0200904,2208.247481,1,-5.112778112,-22.53739441,-0.8252662009999999,77.80675129999999,0.440238704,-1.668760129,30.32099807,-18.94399655,-1.081560189,8.574688053,4.096875582,-125.9113382,-2.484681534,-1.947236641,50.0,5.513897673,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
59,-3.845493368,1,8889937.0,0,10.69787361,13.05479677,33.69675217,93.8513745,6.969734957999999,0.2412323,,1.042250633,12.05335494,-1.285121704,5.639844419,9,32.37507374,1,2,4,339,1110017.0,1,3,2.2983905680000003,0.907692284,,,,5.151132252,1.072303457,80.90726512,0,244.7740804,,1,-6.709188966,-35.51570115,0.117503124,73.53445079,0.461727456,-9.983578225,24.99235856,-27.81627185,-7.21815575,3.150685083,2.363431184,-117.8880782,-0.586725598,-0.997329459,50.0,5.146008923,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
78,0.910720163,0,8892222.0,0,16.85580518,14.95271705,69.50725377,98.38944776,5.8194731860000015,0.509313354,2006.121054,-1.471234609,10.92603333,-3.529129826,15.40458668,9,67.09350726,1,1,2,291,8889927.0,1,3,2.843337054,-0.502486134,,,,5.766410962999999,1.871878774,91.98007125,0,215.2920652,,2,-4.906690899,-17.92350411,-1.534404267,83.36158847,0.415505461,-12.45123219,30.86493352,-16.4745281,-6.951814953,8.765410472000001,7.866572696,-133.52266540000002,-4.1873926930000005,-1.589713861,50.0,5.630287204,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
81,-32.99473445,0,8891705.0,1,18.13375854,15.82400205,5.003067455,64.2542385,5.325217391,0.04468689,,-0.430732239,14.19386776,-3.094735202,16.84502375,1,4.767920636,2,1,8,20,8889942.0,1,1,2.3060700080000003,-0.59518509,,,,6.189186372999999,1.128411068,89.47834453,0,220.061017,2231.529814,0,-6.033342794,-19.34984021,-2.415144625,80.47221811,0.433007075,-14.31000471,31.31188527,-15.87772824,-8.544427981,9.730446499,6.510532007999999,-129.6839145,-6.160611034,-0.8586393090000001,50.0,5.957101612000001,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
90,-10.27174452,1,8891699.0,1,18.19335077,17.88045066,12.16007678,106.2561067,6.188197357999999,0.078197632,,-0.480138558,14.20487466,-3.170738386,1.590423821,9,11.4873804,0,1,1,246,8889935.0,1,3,2.3548644430000003,-0.13967784800000002,,,,5.6210239889999984,1.606717624,93.03988685,0,263.4919059,2493.251995,1,-6.5273115389999985,-30.37004692,-0.795244973,84.93149886,0.406891017,-15.99918029,30.67674245,-30.1465342,-8.672754291,1.099064674,7.038964332000001,-135.2623572,-2.85121944,-1.37513325,50.0,5.545684242999999,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
96,-51.84550225,0,8881884.0,0,-0.331071098,17.69130185,3.925910056,55.27061757,6.285898231,0.028353882,,-0.028694973,14.00545224,-2.69767171,2.75100354,4,3.495338252,0,1,1,78,8889936.0,1,1,1.662794295,0.452664343,,,,5.291540624,1.773202146,85.95570456,0,258.7482943,2031.509579,0,-7.384378572999999,-34.78003116,-0.791730022,78.07607726,0.440927095,-13.32663692,28.02004533,-29.42806555,-8.528958427000001,1.757410743,5.485392334,-124.9756181,-2.730296613,-1.581467302,50.0,5.216442676000001,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
97,-47.59143304,0,8881863.0,0,-3.539028581,17.018248899999996,3.969266744,59.55337299,6.499835775,0.025116577,,0.269981877,14.9813769,-2.606693778,0.361322475,4,3.45047994,1,1,2,79,8889936.0,1,1,1.471302497,0.680732566,,,,5.103672137,1.82619019,85.65268198,0,268.48288189999994,,0,-7.696150413,-37.35069098,-0.5658031729999999,77.36633399,0.441988916,-14.12461511,29.50428516,-31.57411599,-9.169248381000001,0.389457035,5.2612424010000005,-124.5440457,-2.250523216,-1.650667533,50.0,5.0478363,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
102,2.697168704,2,8889924.0,0,17.26583039,17.00948361,68.89679975,104.1805031,6.454982461,0.471305542,2078.427211,-0.76103204,2.886192179,-1.312223009,7.663723335,5,66.03195236,0,0,2,129,680739.0,1,4,2.305981306,-0.043369797,,,,5.698783111,0.92162506,84.91179471,0,200.5487387,2050.593004,1,-6.7104757070000005,-30.38624186,-0.93663151,77.3023518,0.443964915,-3.054364945,26.79910514,-25.25555885,-1.992672833,4.513634333,2.752031997,-123.6143983,-2.859046111,-0.830290698,50.0,5.619002012,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
111,2.47126498,0,8882681.0,0,15.00186618,15.64893144,69.43761666,84.76950234,6.555210319,0.594910278,,-1.420737647,8.8167028,-3.091795419,9.48498599,2,68.74410628,0,1,1,34,8891138.0,1,2,2.516403986,-0.460515466,,,,5.357354037,1.641974118,89.81180963,0,222.8141885,1834.652302,1,-5.452680551,-23.97375347,-0.918266703,82.78029598,0.416319071,-9.865229068,25.67932919,-22.64105856,-5.658073675,5.467522281,6.807039027999999,-130.7430689,-2.791936081,-1.43279536,50.0,5.283627385,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
119,-8.170292506000001,0,8889917.0,1,15.1073815,14.20574253,16.42676642,102.6121022,6.81190066,0.105358276,,-0.902062664,11.91088027,-3.177748977,5.575817112,4,15.03235025,2,1,4,120,8882675.0,1,1,2.473832528,-0.4834234120000001,,,,5.23587402,1.426002701,85.22280865,0,244.7773163,1893.764727,0,-6.143980224,-31.41380776,-0.157847082,78.20015049,0.437735211,-11.72751195,24.62711978,-27.25618039,-7.517249265,3.152317478,6.581353069,-124.0711032,-1.151929231,-1.225854752,50.0,5.213707236,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
122,-12.39638037,0,8889922.0,0,11.51474817,13.71372498,9.026629555,96.76669557,6.33445024,0.058203735,,-2.15986544,11.17879427,-4.269566411,5.244091607,5,8.740316299,2,1,8,172,8891801.0,1,1,1.859026406,0.113335041,,,,5.3574932010000005,3.119714831,77.56970704,0,244.6888966,1659.257319,0,-7.7225667489999985,-40.22473291,-0.158587496,71.55396807,0.485320215,-9.376582453,19.64192174,-28.40877598,-7.254520801,2.913134759,8.124677063,-112.7294593,-1.361002536,-2.814180275,50.0,5.326637112,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
