,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
59,63.80489996,144.18006540000005,5.9405792239999995,1535.069162,84.86899896,45.98894321,85.22984992,-40.39536515,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
65,57.904920499999996,92.74891091,4.6257586669999995,2124.9521760000002,86.60112348,91.42015863,70.093237,-39.49140619,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
105,27.29158094,50.81157369,3.940465698,3276.412145,95.32954087,161.36649540000005,89.14882947,-39.87188058,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
108,21.84306984,37.02269531,3.67559021,1910.481467,90.72679606,150.1010552,92.50862334,-43.29249388,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
129,12.81678084,16.70528267,2.0465740969999997,2574.3202109999997,86.56472475,144.70054840000003,102.00188659999999,-42.83667522,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
134,22.36098367,36.74780818,3.3791387939999997,3325.875772,97.62464696,214.08032540000002,87.45996042,-33.89850964,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
156,39.51963685,58.90706041,3.6453448489999998,3450.159668,91.38951724,121.26647279999999,67.68366344,-37.40586394,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
157,29.66259624,47.81066959,3.523344116,2179.9287879999997,89.34483534,139.51843280000003,79.84605977,-42.77444965,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
159,27.97535977,50.58596931,4.115410767,3117.880616,84.18230426,113.1779341,86.41212383,-42.42645843,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
161,8.328794236,4.828151988,1.241173096,2351.179989,89.818216,138.036342,88.34796686,-36.38136958,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
166,12.51003532,17.44434522,1.965060425,1880.932656,93.72695007,216.44079269999997,101.6601458,-35.66897853,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
168,54.41294607,108.6561376,5.0168377689999994,3113.883965,90.48866519,76.21258844,76.19937063,-34.12925841,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
172,9.366074784,2.335525427,1.106826782,3013.617242000001,87.50710287,109.37750700000001,86.05469159,-37.91298275,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
174,15.07391961,24.55337526,2.897716675,2403.267135,89.99916157,150.39257780000003,103.9405865,-41.06211882,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
186,53.66851188,111.1649777,5.111422729,2115.017706,88.64924728,72.44170431,80.6188816,-39.76116506,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
202,22.28842688,41.80358451,4.130767212,1589.7758919999999,91.75428989,171.25923799999995,99.49301123,-41.45728579,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
239,23.31780216,25.36650754,2.626028442,3366.083107,88.78328497,186.0248975,65.35006109,-38.55084062,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
251,5.9334608189999996,0.99857813,0.92928894,2989.482974,90.41709623,96.24074492,94.25267537,-34.98951458,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
258,13.47991748,14.40780502,1.72975647,2212.921847,88.88168089,148.24936,94.43127893,-38.96110335,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
262,43.46360035,70.68645588,4.321617432,1908.228813,109.80502050000001,219.93915319999996,67.89461137,1.06698755,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
264,13.57547358,17.56404029,2.139165039,1635.599786,109.94219939999999,205.2356036,85.24783475,-4.660638476,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
265,11.338688000000001,17.54628496,1.957199097,1830.463086,88.50139877,170.47347280000002,100.1622302,-40.26676384,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
314,18.81971807,35.12877361,3.75102356,1371.7875900000001,109.19937620000002,303.1925877,96.54543718,7.905580412999999,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
323,27.476407799999997,51.22260078,4.5504034419999995,2775.052905,106.4627124,320.4229473000001,85.88599773,17.35318562,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
327,28.46659419,58.61326325,5.075873413,3305.5565579999998,99.43249379,157.89424530000005,98.02103279,33.48764898,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
357,24.6914848,49.10636513,4.718668823,2329.9120199999998,109.5995092,326.6448149,93.40897726,-11.98344389,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
374,16.61773638,31.05773267,3.354259033,665.6407818,109.05006670000002,329.34742860000006,107.9329225,7.457958131,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
376,7.666692156,5.4987657489999995,1.134282837,2415.227412,82.49212178,105.64229879999999,102.6839902,-42.71845649,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
378,20.00906066,34.42111782,3.0745635989999998,1991.913371,92.54700621,186.7571419,100.23448470000001,-37.93231494,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
382,48.06990863,109.11538519999999,5.796454467999999,2644.019814,87.08964214,56.20722167,87.09454422,44.04025812,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
386,15.80472454,27.79569627,3.16522644,922.2902875,109.90239629999999,284.19260019999996,94.7624027,-7.296163354,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
404,35.94799106,75.15869594,4.991461792,2174.36235,109.904551,196.2819108,87.45280955,-1.6389650580000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
433,29.25101803,58.20460027,4.727207642,1738.1223260000006,100.83364470000001,151.28690459999999,93.75393478,27.5958375,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
446,24.45830815,48.53115607,4.58875061,2055.125904,105.6562827,339.4594249,98.28200523,17.282303,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
454,14.83265783,22.86631691,2.904125366,1705.93848,102.4737257,296.6711551,106.55422859999999,26.65464697,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
458,52.01281833,124.3838038,5.8722235110000005,3449.5039549999997,90.03433804,72.49121544,86.94603969,40.91687131,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
465,11.79070168,14.32684237,1.844568481,1087.524398,93.74461846,198.69429309999998,96.97437966,34.98392577,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
497,12.29819701,16.7070227,2.263851929,3107.5867359999997,107.5216655,212.8943397,83.01265443,15.22593352,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
506,18.15829558,32.18307758,3.4175036619999997,2305.055527,107.6264453,312.5951966,100.00882359999999,15.5408073,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
507,34.60274608,76.66795882,5.250054321,4257.394956,109.9430517,198.4941803,99.11373418,-10.14000114,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
510,11.42359935,15.11830748,1.9309082030000002,2459.695543,105.3893101,213.86305919999998,95.64495881,-20.39878905,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
515,13.12304915,13.53681986,1.8465155030000002,2783.183767,104.2949097,186.52414219999997,88.29991304,21.56437459,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
529,9.093477746,2.208573832,1.1125164790000002,1333.1381789999996,102.3824113,120.15429309999999,84.17641728,21.70345639,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
532,35.66537937,74.46122605,5.117374878,4980.838931,109.1364418,141.89971069999999,85.52167612,-13.98754972,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
543,25.56788594,37.80815783,3.334453125,2090.4196079999997,109.9661091,250.4066454,72.90595372,-1.79375995,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
556,16.27123264,30.88925648,3.460250854,1559.587415,109.973277,327.0843447,100.26099609999999,-0.502147691,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
580,31.8973005,57.73138977,4.41432312,3438.437865,105.57641570000001,280.2496217,76.79361516,24.79207526,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
581,23.53813291,33.75489177,3.247556152,4146.549193,108.9113293,227.4870613,73.38970301,-11.06839962,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
593,17.97922881,31.2978743,3.491964722,1824.689316,94.31771146,185.0935055,109.00000159999998,40.15817281,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
612,35.53129317,60.48504979,4.231448363999999,4256.368709,106.3990222,227.8056091,72.03629954,-18.57757855,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
615,10.44911084,5.068992407,1.457483521,649.7403917,108.35473700000001,130.3651364,70.92780668,-9.789977587000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
640,26.6334553,52.84228053,4.6966888430000004,3350.849041,108.12418149999999,347.6896704,92.55083306,-8.882286221000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
641,14.44998684,21.57988528,2.644259644,1066.169754,102.53735870000001,267.5223603,98.54764733,-24.33370427,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
650,65.11935483,110.9559123,5.7089862060000005,5503.018019,79.78153420000002,38.61528961,81.32531326,-42.98971412,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
651,46.52030729,87.24548773,4.61434021,4719.093618999998,105.002886,118.9657517,70.93418283,20.78678128,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
653,37.077857200000004,80.79321763,5.18052063,3893.3701539999997,109.2384794,166.05660780000005,93.46473524,-8.70402986,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
655,13.61158245,19.94895563,2.487548218,3350.0899649999997,100.7872199,250.42345069999996,98.87828282,29.66590883,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
672,28.70546178,44.0290446,3.632182007,2940.844746,109.88985490000002,241.45842140000002,71.54596903,6.226020897000001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
678,19.17835523,34.14899354,3.835018921,2291.905334,109.99188259999998,336.2414422,96.33267685,-2.350934105,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
