,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
1,7.450103232000001,10.53262888,1.755407715,972.1864084,100.202902,212.8224869,104.547354,1,1
2,31.73994315,63.69861216,5.183821411,3487.934783,109.0477949,356.1932321999999,91.95691569,0,2
3,5.343313619,3.587269934,1.029713135,1421.370866,102.8323141,131.84959270000002,103.0071548,1,1
7,14.1034888,20.84270482,2.254436035,1987.7680920000007,103.8240428,229.0228654,93.90537396,1,1
8,20.56014896,32.87165155,3.235473022,1778.6993,103.162596,269.2689744,83.85245826,0,1
11,20.39291728,40.14805666,4.191856079,2791.769901,109.8948518,348.1285318,98.71430673,0,2
12,19.34106993,37.6401959,3.92395874,1737.534623,108.4452158,354.4099486,98.11992264,1,1
14,17.07704822,30.73963273,3.097320557,731.2905379,107.2248277,296.7231172,94.57907848,1,1
16,9.082239143999999,12.24382114,1.85291748,2556.62029,104.6074393,214.2171351,99.85726138,1,2
17,22.36674709,38.91829467,3.52463562,3115.635839,101.2219045,291.1670568,88.43328264,0,2
20,25.96156807,49.06219642,3.996228638,2432.982813,95.38181111,155.2979795,94.74150452,1,2
23,23.02034164,37.81571187,3.51515564,1174.79698,109.2383078,251.0411127,78.8778368,0,1
27,27.55896236,49.36079194,4.028441772,2855.181501,109.5975578,263.5169254,80.97377702,1,2
28,25.72197493,48.91746269,4.441292114,2767.037245,93.7725517,152.2808628,93.70829314,1,2
34,13.88789349,18.18671448,2.325648193,1962.022641,109.6531673,218.3666324,81.67224904,1,1
35,26.7868466,54.16154570000001,5.02116272,2482.46069,105.14404170000002,389.7396795,98.93671648,1,2
40,22.51594688,39.70374936,3.735388794,2926.676029,108.7062161,299.847705,87.08580262,0,2
41,22.88317649,40.37469099,3.935228882,2159.432098,109.9948893,336.0132468000001,91.20681738,0,2
45,17.00010692,35.31771005,4.15840271,2310.479996,102.1591644,352.3175682,113.3751955,1,2
48,5.650908562000001,1.5047492530000002,0.92644165,680.4182482000001,109.9037444,119.01693629999998,97.54231754,1,1
53,16.02801134,20.11615111,2.329989014,1036.419962,107.9746278,216.8846021,82.32690903,1,1
55,11.55722262,18.53086763,2.2233312990000003,2057.200903,106.2183107,240.1770262,98.79937125,1,1
59,63.80489996,144.18006540000005,5.940579224,1535.069162,84.86899896,45.98894321,85.22984992,1,1
60,49.88778453,100.7652706,4.751039429,2321.976313,100.2916038,111.8537333,80.90742417,0,2
62,31.6569135,62.7201375,4.865726929,2283.70533,97.87824834,139.9422519,97.82576994,1,2
64,33.90126226,66.61694811,4.698671265,3349.619856,95.13195005,131.0190825,84.99758558,0,2
65,57.9049205,92.74891091,4.625758667,2124.952176,86.60112348,91.42015863,70.093237,0,2
66,29.97205138,57.71323913,4.06883606,1845.499058,100.6410394,174.1494391,92.1397611,1,1
67,49.22539617,95.31127695,5.102510376000001,2415.993778,106.5341659,134.72269939999998,76.47658221,0,2
68,10.73516859,12.23707861,1.868168335,840.3726891000001,105.9347185,194.6079162,88.93088689,1,1
73,26.3339358,45.44325696,4.085402222,2757.306577,102.0961022,304.1250813000001,88.32635114,0,2
75,33.15647939,61.82704508,4.578225708,2123.836625,106.4399358,316.2626646,86.87392446,0,2
85,20.04677322,34.90706478,3.650715942,1822.792333,109.9942295,324.2912682,101.7502749,0,1
94,29.39974407,51.39333831,4.304404907,1653.005541,106.936499,298.6269654,81.9989981,0,1
95,25.43124425,49.92464288,4.549830933,3149.922255,109.97986840000002,346.1182378,92.00050889,0,2
96,12.4840474,18.29221023,2.33395813,2586.732546,107.1046348,249.04569590000003,97.67932616,1,2
97,24.62160936,48.66015445,4.792022095,2305.6724280000008,108.0720312,386.4433852,98.9963464,1,2
98,24.51480426,44.04313383,3.90913269,2557.164695,87.43100824,120.8371047,96.35560644,1,2
99,26.28171169,51.9814512,4.732217407,2389.350505,103.1301089,349.83437260000005,93.5109572,1,2
105,27.29158094,50.81157369,3.940465698,3276.412145,95.32954087,161.36649540000005,89.14882947,0,2
106,20.45094667,29.33379212,3.070645752,1107.998257,108.7994124,234.3060762,75.36235898,1,1
107,12.70227117,17.048981,2.053601074,721.6334304,108.0697741,226.4648238,98.21738989,1,1
108,21.84306984,37.02269531,3.67559021,1910.481467,90.72679606,150.1010552,92.50862334,1,1
110,29.15101545,62.8045845,5.453440552000001,2796.145122,99.19098538,142.85675680000003,98.679396,1,2
113,9.318417864,2.600930366,1.087861938,1252.585285,102.8922223,120.7428262,86.82474631,0,1
114,7.914947516000002,12.76739405,2.15050415,1026.500345,109.9527399,241.3499231,102.6908366,1,1
116,16.8233773,22.91998296,2.560631104,1398.051956,109.9937826,227.1733705,82.97921878,1,1
118,11.89967111,12.65752833,1.814620361,3211.450237,98.43650656,183.5011206,90.42587376,1,2
119,22.5581969,43.00050136,4.25402771,1178.322046,108.79037859999998,317.3457238,95.11511514,1,1
