,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
0,15.98800166,26.47208281,2.546309204,1812.647997,100.8221606,272.14353930000004,103.9757267,1,2
4,9.107328945,5.182564268,1.3808843990000002,2014.75457,109.8173937,138.7484348,80.15112326,0,2
5,15.0548747,17.96498632,2.183850098,2289.199005,108.1373889,193.7652342,77.63953195,1,0
6,16.55197789,27.76239334,3.197356567,3054.891596,92.54857539,192.5848625,91.67253079,0,0
9,9.739341438,15.76038499,2.2971850590000003,704.9878614,109.88884740000002,248.2513354,101.0659515,1,2
10,17.87604906,31.35925315,3.45097229,1716.9658510000004,109.5543987,318.32910560000005,97.76246277,0,2
13,23.1845756,39.66265787,3.872022095,2887.523451,97.92004058,282.3033257,82.42530847,0,0
15,22.49174374,42.44937113,4.1650360110000015,3495.187075,109.6480435,349.5389333,92.43806538,0,0
18,5.189884567,0.451781807,0.857927856,3079.312399,91.54510441,107.9161917,102.4824363,0,0
19,16.9152715,33.52189786,3.757544556,1277.095362,108.00429540000002,376.1411157,103.952748,1,2
21,11.49593727,17.31374718,2.290113525,1332.0248390000004,108.1204861,248.2334727,95.35686319,1,2
22,19.91189462,38.46456328,4.0588763430000006,1802.948008,106.6344764,357.5506712,99.54049739,0,2
24,20.48518336,36.67545689,3.687272339,1796.129718,109.9414611,310.0754904,93.05537569,0,2
25,16.07317119,26.32507867,3.036264648,2259.8782300000007,109.2323227,283.0864898,88.69053341,1,0
26,7.360868063,14.17080316,2.416109009,2337.853306,109.6143134,268.3234761,105.4046578,0,0
29,15.33788755,30.36981511,3.906481323,2225.208856,109.539621,371.482976,104.9493923,1,0
30,5.80390532,4.202895294,1.120742798,2809.127006,83.2702472,133.8668223,101.8375621,1,0
31,8.226691133,7.917825016,1.6296307369999998,2279.027954,108.9318649,133.364887,82.91356295,0,0
32,13.29336263,18.38418192,2.366422119,2741.309522,107.808686,220.6412773,86.59943822,1,0
33,5.47616172,0.532647713,0.89920105,1812.64481,96.15178898,111.8513493,96.25977088,1,2
36,23.98856925,44.45023187,4.299453735,3317.831904,109.1712994,336.680658,91.26011078,0,0
37,17.72624003,33.30590569,3.533434448,1403.838605,109.7635053,328.5145999,96.56422111,0,2
