,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,-45_to_-35,-35_to_-25,-25_to_-15,-15_to_-5,-5_to_5,5_to_15,15_to_25,25_to_35,35_to_45,PlayResult
PitchNo,1.0,0.08491013370468825,-0.006075847913025362,0.02842358851326453,0.11638170735212743,0.010042990394906018,0.007916218157787692,0.9585010256580948,0.051433907648787705,-0.016838636429594576,0.00525085846277052,-0.006892612371038476,0.0035625709267631976,-0.03145778587814566,0.08535284047645264,-0.09241381544435646,0.004430156385659443,0.02828263083758287,-0.07726331233887557,0.10036824109594984,0.07126669450172782,-0.05927970243686748,-0.07412300848932889,0.07164810421589995,0.006965572052641571,0.04330119749793892,-0.036876320760980186,-0.017133272336492006,-0.057078526805199564,0.02278318867265615,-0.03622920212419934,0.0007233853234654423,0.026923383086035015,0.008937271205110847,-0.00872928938689945,-0.008388301641485183,0.02549580934398763,-0.05387698098365753,-0.024389188849946297,0.023425451641908967,-0.026287426889876907,-0.07576135510380297,-0.07375087813217192,-0.09958096586359977,,-0.06704611098792453,0.08825700937646101,0.030798636432126568,0.08415629306740727,-0.07587602450886514,0.0030422449617379297,-0.0649295408071578,0.001903100305975742,-0.032180499252167406,0.021599317834937116,-0.01828272190251086,-0.032909147212934614,0.024463331967730113,0.013500784721826092,0.018153545459746356,0.006725509770308208,0.0009468820755246283
PAofInning,0.08491013370468825,1.0,-0.01342815494942612,0.011626753894304726,0.018014957660978968,-0.003386516620908663,-0.005454086011771293,-0.0072626860667055785,0.6671494496518143,-0.0012199227512516907,-0.0198239536933555,0.02051052852343761,0.31083494296160724,-0.08963987370034017,0.07974265500249168,-0.010584257410533085,-0.017183227255220847,-0.008200939161031408,-0.05560758353489638,0.01515173241737778,0.05875038691065955,-0.07595592631623489,-0.06209112232412803,-0.0011560961822986095,-0.012345265370157047,0.00016707484366520843,-0.0834301097197381,-0.04857304771978915,-0.019151850913105343,0.07372599214347975,0.007093685698083904,-0.009901261578519657,0.009788909479031584,-0.010095428776467264,0.011721030282937236,-0.007158065812866888,0.011832513613986923,0.010753361435468477,0.017595904240753406,0.009201751916878914,-0.0034392894458534504,4.441677722909187e-05,-0.06318355424229634,-0.015292192223515593,,-0.04429900373824558,0.00806646182102227,0.08799488444949628,0.07896394778478766,0.003846567537532275,-0.08862460248867067,-0.06446356479753904,-0.011269264047041355,0.00455893444254154,-0.005785860695747954,-0.0027552385006727647,-0.007477205851872973,0.010494792684435279,0.034740346996068226,-0.01201385915276098,-0.01548410488160712,0.04343769382963843
PitchofPA,-0.006075847913025362,-0.01342815494942612,1.0,0.021371381740030893,-0.017942754509135832,0.03958446865606385,-0.011724893991866244,-0.030152529165549953,0.00509063135768628,0.8202051954898545,0.7915968732574746,0.032427935382413085,-0.022813461176303555,-0.011340363436359786,0.015591472878653876,0.021303002764203098,0.044471567276571915,-0.07139413217860639,-0.03534627408357515,-0.005086338209296435,-0.011330529008386063,-0.012656876822128505,-0.006716286149375913,-0.06082720228313627,-0.023769543641157413,-0.025772199142409084,-0.016378052370067994,-0.004964964972369306,-0.04416020555205322,0.016415677146422558,-0.042938658730426814,0.031869008304136255,0.01732357835426021,0.03872866725795423,-0.032360098736269605,0.020950087610592534,0.019640901241350962,-0.02982049150559289,-0.03365683447286005,0.019143354797977363,0.009550550107145919,0.05667043519940646,-0.006737830909776576,0.0033753449036504316,,-0.035288818658737606,-0.020609452016985594,0.012097121403872688,0.010709868685233694,0.057472673357482344,0.00998856586496225,-0.0006685579543647181,0.00020070457406657228,-0.0028512168166765638,-0.0002843089774097185,-0.012910145128087242,-0.007411970389736522,-0.02142339242880793,0.0023343351388493585,0.027697726053903002,0.021992100223284374,-0.028436693456010718
PitcherId,0.02842358851326453,0.011626753894304726,0.021371381740030893,1.0,-0.07000031842720472,0.09116417404579825,0.02627594589432066,0.0038241217552918033,-0.014593741083759071,0.025449678159796388,0.01126681341102627,-0.01592288135043452,-0.004925015921178843,-0.11071285617231746,-0.012131319001009807,0.08488163147876711,-0.09740238351274103,-0.07080910460613998,0.0928443848076529,-0.06347094467621466,0.008495778988306718,-0.03489890723232134,0.019846360736408507,-0.10685846354292604,0.0063467980707014185,-0.015462625464283947,-0.11365878728072891,-0.07194896852466584,-0.0012746297339715623,0.10077336314299985,-0.009297238574047649,0.03673985099335174,0.010256826473567742,0.03289377871904774,-0.024432572150028756,0.026719641218660984,0.015815617617546598,-0.00023577248051145374,-0.0031576560215182668,0.01886539123732987,0.025882646279521256,0.10699515307424073,0.01938860994127761,0.060332274103585284,,0.10030482900535784,-0.08954260728067283,0.11216774093003991,-0.014194994060890462,0.11638995395940145,-0.08470780691916373,0.006810830248116435,0.02902064073244648,-0.035131516590644465,0.0120113906389869,-0.011997860105547486,-0.03209196996647607,-0.005855161358691235,0.018269382771337148,0.021363740025689727,0.01432550389067448,0.012283438591705807
PitcherThrows,0.11638170735212743,0.018014957660978968,-0.017942754509135832,-0.07000031842720472,1.0,-0.07529503306715662,-0.11668363738812494,0.11303259592422686,0.001829845593184791,-0.023522611412305276,-0.026960286196693446,-0.014038948047429303,0.016983121200158477,0.18043167191661164,0.015890497430438952,-0.898810482070647,0.161412119559408,0.3285562681723594,-0.05556655714986543,0.9153227936065288,0.15670483579099284,0.025245656206921437,-0.10191824809200699,0.6673320446698802,0.026560068245160086,0.1980571512582555,0.18905174205488617,0.053100859147665457,-0.5907765588868232,-0.19113582089889417,-0.026216113438495624,-0.019019866557302596,0.02712149111664245,-0.03437852124476389,-0.013546006104374375,-0.01892990778264746,0.011828397325311551,-0.03238004596144361,-0.04044935925247576,0.000530800985384841,-0.03019120753696756,-0.7119691737416837,-0.08934376753204401,-0.9101981502857868,,-0.052812665184340496,0.8973240896551986,-0.18416787538539742,0.005989706978478788,-0.7353730595435398,0.144317313679071,-0.04244844963058004,0.003884518849289083,0.008226157462718374,-0.021179325411508507,0.006589167760872334,-0.007747453120548422,-0.0038315648896432145,0.017947332017092976,0.01280821109187562,-0.01747164203695029,0.014275103473943666
BatterId,0.010042990394906018,-0.003386516620908663,0.03958446865606385,0.09116417404579825,-0.07529503306715662,1.0,-0.14859015377144424,0.018963107965606962,0.01357136876273796,0.03231410652377425,0.03409913923527149,-0.02208464746600217,-0.005597099959038374,0.022116030833299244,-0.028006273912368682,0.05491049261052123,-0.0379536732928385,-0.008535188337360836,0.01752190429250037,-0.050082880025779014,-0.024199186087710777,0.03363932450686385,0.03876469125139236,-0.03762386514636759,0.013670540552383585,0.013839820220593007,0.02141995371606015,0.028890118987447946,0.040656487512406234,-0.017420967195339993,-0.02548467902085149,0.00726315147797996,0.039071420261044716,0.03718937221319173,-0.01396248498746596,0.004012428973458499,0.026761422010657315,-0.02323070284250944,-0.01024358671422888,0.01721720005502831,-0.006919597878562541,0.04065846896652264,0.037208013750965455,0.04908391746906593,,0.012856579743858447,-0.057855069014545776,-0.020601740003466085,-0.026787357503213052,0.048187532412433044,0.008772967032796324,0.037461926935762245,0.004247583829716513,-0.016508525640443566,0.002098793952476496,0.006486635794280373,-0.032338945935152894,-0.014086181596671039,0.018273482623750763,0.027616411684698642,0.010400859922813427,0.02773097954193272
BatterSide,0.007916218157787692,-0.005454086011771293,-0.011724893991866244,0.02627594589432066,-0.11668363738812494,-0.14859015377144424,1.0,0.007681969149187234,0.014771281532771635,-0.03517452624926249,0.015541388512323054,0.01600926455833621,-0.02894999437797439,-0.05759338302667534,0.02869440508541206,0.10931240905152333,0.01184455167246187,-0.18065183280440336,0.030902935570320287,-0.12570164271526554,-0.053970735082720045,-0.05557577169198219,-0.039010821916795474,-0.18521410216663525,-0.003206991828323371,-0.25126440546595263,-0.0569247873519754,-0.06200215113505536,-0.06434961074113808,0.06316782317791157,-0.030797214252049187,0.02322273775500859,-0.14411088980272657,0.045008503404739456,0.008915867857179913,0.02514213095839071,-0.047184952264849596,0.005840473048779683,0.0024719146197573574,0.022816550991939185,0.025585984094951678,0.18061590901783492,-0.04006290427104168,0.12780204298092626,,0.03889575937403216,-0.10355947453611511,0.05873148133155121,0.024344807289509267,0.17157668914982996,-0.04802203208060888,-0.04252950998138678,-0.012851724910491287,-0.005615205157476097,-0.01759848271570351,-0.03020864997681021,0.029570491384562997,0.02370154049185991,0.009444165843985965,-0.0025662071033125617,0.001598205592879797,-0.023862345414290873
Inning,0.9585010256580948,-0.0072626860667055785,-0.030152529165549953,0.0038241217552918033,0.11303259592422686,0.018963107965606962,0.007681969149187234,1.0,0.003071248274590839,-0.03655633852493002,-0.015334226692428968,-0.0019311639809346263,-0.030764210670192648,-0.008162339335206945,0.069449666631376,-0.09785123355344905,0.01612811563095667,0.038561171701941836,-0.06027609282910067,0.10207657011803596,0.037944955970299635,-0.048009473575912315,-0.06765516258233534,0.08303763339454649,0.00785200027616793,0.04455788452347168,-0.015380454841491635,-0.013361579150578486,-0.05088817712057121,0.007743454268362417,-0.0397471344118236,-0.005721276339214543,0.021726378449910717,0.007155170020383355,-0.010186606328856502,-0.014848582298678997,0.019653633288030693,-0.056577271740685824,-0.02040826572669128,0.01802216795497413,-0.0301793078662002,-0.08719551201772466,-0.0675576585038112,-0.10103033900584348,,-0.05249899687480943,0.09462667350352265,0.008198563086250325,0.06691669631156574,-0.08834895842446495,0.028065004226219156,-0.05727586194213863,0.007421120190909074,-0.03487972148805769,0.021516475133995922,-0.015464863964824783,-0.03323848805167297,0.03208453104899181,0.0034507018367190166,0.012204905207715711,0.010257581787324355,-0.00922752589908353
Outs,0.051433907648787705,0.6671494496518143,0.00509063135768628,-0.014593741083759071,0.001829845593184791,0.01357136876273796,0.014771281532771635,0.003071248274590839,1.0,0.011437912204582719,0.004378850252916551,0.01175713788319946,0.07877055978431459,-0.007011690977030387,0.02480541017521345,-0.0010759684864236417,0.010743226027141539,-0.006887821883090943,-0.01806257739127575,-0.005315712532003595,0.048131626860326904,-0.026380118301141627,-0.035529271170685904,0.002941630202251652,-0.009754143728153898,-0.018557537887111498,-0.0013125311978532401,-0.020829942266665458,0.0015004940775310428,0.003691100813837444,-0.005523817168003302,-0.009352285796600275,0.003797743033999036,0.01689341433470414,0.0053476736055804745,-0.005013402326445266,0.007528073888760224,0.006467195894728538,0.014503639776353584,0.00570647943800928,-0.001789732402309289,-0.0025263837049060507,-0.03419854234108736,0.005961515272127027,,-0.013884171160291158,0.002017546538885187,0.006003848435042287,0.020296627199983864,-0.004401751942415357,-0.016638277949606307,-0.02447223844176413,-0.0124670083909621,0.012223003286143213,0.004500722344394972,-0.005297367185394759,-0.004908648264712892,-0.0029387192810910808,0.0020722588989651436,0.00660106158799671,-0.00022741375407311825,-0.02579309519845604
Balls,-0.016838636429594576,-0.0012199227512516907,0.8202051954898545,0.025449678159796388,-0.023522611412305276,0.03231410652377425,-0.03517452624926249,-0.03655633852493002,0.011437912204582719,1.0,0.4113166559629688,0.03023083139344823,-0.009463350382571813,0.0920344564012356,-0.08635164685710263,0.010194178388090558,0.03612881070041672,-0.0022054364019228625,-0.03238383426965552,-0.010132132656674453,0.033870678232413375,0.11564238205468906,0.11144249687230487,-0.00988069696549718,-0.020787151057367007,-0.0046222439157124935,0.08477060171595782,0.10508752376189077,0.004312966328434021,-0.09018490021284181,0.01256065415056401,0.052968612667554135,-0.0015648943669831163,0.03250042865340462,-0.021469860703091197,0.05632954350361054,-0.0025473749191812873,0.012494129376066403,-0.0201027167040768,-0.0035830337928743484,0.04614377766546263,0.009609045725461118,0.1122533700867238,0.010039699202660499,,-0.0511979729348067,-0.010850016378916723,-0.0910687914952023,-0.08520716149917465,0.01405096210927669,0.08803692141838433,0.11931696351662369,0.002469048425266476,0.008247566238322878,0.016103694303623836,-0.012336050079048488,-0.009769314348931652,-0.021372480448426615,0.0011051513212956545,0.01298519364669486,0.007796013926290897,-0.03072966859337371
