,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B
Angle,1.0,0.007048385844727616,-0.06734822884477237,0.005784644020789827,-0.007431521505584633,-0.000864632952709366,0.7075394927627366,0.5277658629432337,-0.00928301778248944,0.6913507549699486,-0.139694712985437,-0.0025959171319788494,-0.03256084265432348,0.025729148288359708,0.06460098636277689,-0.016957033174347724,0.6968406835012634,-0.01807251044899764,-0.21997768722646296,0.022655645924381868,-0.014034708637005015,0.0317142817804341,-0.01107356657758406,3.058566079360056e-05,0.0005369365140500146,-0.019278100665896837,-0.04677722968611025,0.3010471292853593,-0.009995937531608838,0.01608559370287486,-0.02346926438152131,0.011885912925872984,0.10444733873534623,-0.030377435768676086,0.016025770560679616,-0.031437796739765336,0.03203951417088014,0.045208150319136185,-0.043811610864031694,0.0062720860283367,-0.006901794483965556,0.0300510064661315,0.02910312507247945,0.06670096622388406,0.03261353592450089,0.06343539617051698,-0.02300162642628383,-0.012176906400672557,-0.04447366352347166,0.022549106600070958,,0.008617578550204908,0.28230602024109014,-0.05528103399863936,-0.0008745926227641986,0.00948226071598061,0.047260392116587606,0.04278686062096148,-0.005351678853557575,-0.08725108789448309
Balls,0.007048385844727616,1.0,0.011711206536530617,-0.0036577479608374797,-0.022285556908777485,-0.03123637262532072,0.008830553484027918,0.07954957343282727,0.031120027708315883,0.0009189810144932833,0.020517454043986607,-0.00026323683227436723,-0.0289517273242043,0.02344310275925562,0.08636065589803442,0.007140083870448973,0.006935749771741045,0.011478035335687892,-0.04475898972374405,-0.0013148871169956003,0.030483576648493164,0.022299831520086567,-0.026854039634489246,0.8150706220129063,0.014585610248866218,-0.012938664254608904,-0.04406390999160339,-0.09678727321661557,0.23599733232880077,0.025106713826671703,-0.020675238830601694,0.11226278653508628,0.055914838737127624,-0.027781301000443837,0.06018213138565553,0.38368420106833434,0.08388631660380193,0.10594186988519984,-0.09023330707069571,0.1034278792391159,-0.10740151521502161,0.02514384803731593,0.1160500064435178,0.09407694293370189,0.028237324584001897,0.08867621296841094,-0.020883391682541563,-0.11122598355506041,-0.08854146715510217,0.019910800106014644,,0.01111747192191545,0.04266039952856019,0.04900469971169049,-0.004030574835567353,-0.013563344934545083,0.013910722588554691,-0.022766297212420475,0.0018113715640963853,-0.028843960270134403
BatterId,-0.06734822884477237,0.011711206536530617,1.0,-0.08489221716503292,0.048852619878308835,0.058856836780289586,-0.04632547118652481,-0.05339137567334495,0.024949468137239958,-0.03666217040683644,0.07674608690425715,0.02630019061891659,-0.04132827148231448,0.0511350047434214,0.03928016441874543,0.0709283209526076,-0.044967377538035196,0.01966956940782792,0.02200633597236323,-0.006721790287737323,0.07262510204998761,0.1767561594423587,-0.07087699928120388,0.024970423319575843,0.043705950451727094,0.008217907743469149,0.09227129315046645,-0.07474910161938252,-0.15515437424727382,0.013192169774519464,-0.04408153451009449,0.056392979443562856,-0.005176353880705811,-0.02143725844426514,0.035937517683393684,0.03322974026329407,0.056984096005762284,0.05183952727967394,-0.02835755838508675,0.05831334549626845,-0.0571403490046505,0.04162943710939277,0.03096169341770253,0.04295159857356819,0.044122403775409505,0.038642735294806316,-0.04978312987772398,-0.05589026260611819,-0.02510539115903289,0.04261153520084699,,0.00979341115114065,-0.033474955713973895,-0.03828239338903576,-0.012003849329042695,-0.0030551766624960443,-0.016100116066309376,0.02457968816560305,0.025730500334339285,0.030949880998157046
BatterSide,0.005784644020789827,-0.0036577479608374797,-0.08489221716503292,1.0,-0.3225394869907045,-0.4243444832629948,0.02460668391077544,0.010881854302009341,-0.08822062878493553,0.020493314570435746,0.0347333876207626,-0.1269341057578191,-0.11155021006016429,0.010551414406966518,-0.008792340294515696,0.01208056531140985,0.026498378852124634,-0.005461875925321082,-0.014138688900711719,-0.005790398052804603,0.008353585708027167,0.04575990666141201,-0.046614424308824516,0.0014757780919864003,0.010624666787959482,-0.3743460107500279,-0.1639508712550584,0.02292839590309967,0.09975379972928784,0.05008240319044126,-0.07871704621186243,-0.03746651585948289,-0.01737273186137608,-0.14144406097943352,0.07025856858990966,0.018631544515674135,-0.03883639145556593,-0.028828798065061792,0.005296910552116788,-0.03695862519738049,0.0502700168481108,0.09400897529040328,-0.035357267887742655,-0.00626329765502598,0.10289010515137628,-0.010426687297679824,-0.004683832842634295,0.03929366729651536,-0.0026645973540614033,0.08782574630822529,,0.054733416331178536,0.012704510430094624,0.16440239341774615,0.2029455411516319,0.1274662911764216,0.002176527473713642,-0.14341831590732707,-0.21457435233657612,-0.2001813165829415
Bearing,-0.007431521505584633,-0.022285556908777485,0.048852619878308835,-0.3225394869907045,1.0,0.9563326086007731,0.012569925735135072,-0.004513743379775505,0.04671195803279868,0.016892916224911698,-0.03013039130722568,-0.11639094228044086,-0.023495563924658503,-0.056476868690700205,0.015226688261163931,-0.007886629227569612,0.01131230672856114,0.008122556142842949,0.01646421626779776,0.011023792144993175,-0.007567116105692982,0.03401640458394991,0.010143620795081678,-0.013571273823695005,-0.003883318016944528,-0.22461306756475552,-0.18602248839024776,-0.11192446965898394,0.9996120110415897,-0.022870336820631422,0.011860368457559627,0.023386591963320946,0.048061516337875226,0.0007227809420929269,-0.010729807244736803,0.00734465680359122,0.025643384644863827,0.02195539069829903,-0.009022595173627591,0.020229647981139978,-0.02666073897941494,0.01820890676994886,0.02777358990907812,0.017601393893455726,0.014596631111916695,0.01620973823876107,0.06174141841031762,-0.022516264677685194,-0.0055931929915402,-0.00661166259206279,,-0.025807552590552552,-0.023542409308118073,-0.48838584447961236,-0.41944597448605797,-0.26751007626104956,0.061732161245611684,0.31730604529926854,0.4289659877451938,0.4547341813384086
Direction,-0.000864632952709366,-0.03123637262532072,0.058856836780289586,-0.4243444832629948,0.9563326086007731,1.0,0.016004437365358556,-0.006794295107723441,0.06240477908528874,0.02042061066961464,-0.034932797776565765,-0.040257634554043166,0.024767508213859143,-0.04720673073268847,0.021539778186848366,-0.002873359164702348,0.014611221957883483,0.004336943266449226,0.021503949945179724,0.014242232679532207,-0.00367098704804706,0.032525706224313104,0.02649697327162114,-0.02756955392467438,-4.5101316490415487e-05,-0.03861519355153283,-0.18731235276472907,-0.0992122660104757,0.9947638634670902,-0.03415731723706804,0.03585945524550119,0.04018155433952138,0.047563060104671095,0.04757961301621957,-0.02451251075094729,-0.006991645120923887,0.04209324436302821,0.03428203348101922,-0.012126876141489674,0.037158760128581554,-0.04486621813956133,-0.023787794941339136,0.041194698520639284,0.024589654526745126,-0.02821290669344902,0.022352106802061837,0.04925737980523974,-0.03995600707681135,-0.007728617316590401,-0.0347465477578912,,-0.0385894438989531,-0.028412363727173207,-0.5076287935825206,-0.4352434506383594,-0.27713446207463416,0.06042063495884901,0.31882701732061386,0.44002032983135136,0.498597586693921
Distance,0.7075394927627366,0.008830553484027918,-0.04632547118652481,0.02460668391077544,0.012569925735135072,0.016004437365358556,1.0,0.3772096235112458,0.005825082293377846,0.9871413433959577,-0.1755039722772058,0.006462937227393782,-0.023271761768315385,0.023668564588871017,0.1118789450267427,-0.042977705469339385,0.9944702786890053,0.006154090913595165,-0.27831060484954995,0.024966978304687953,-0.03575159011956435,0.06055878423939933,-0.015867162688730962,0.004098349826731632,0.1077514523347393,-0.027477971904795836,0.20246234410768046,0.9549610791094538,-0.11290195364675538,0.04680815269587823,-0.02862622264425073,0.029773257000019492,0.10555421559644187,-0.013999843995063549,-0.00043412271383105135,-0.03161943907992948,0.09775956890495299,0.08522213933253509,-0.04333244732990928,0.020525844094053374,-0.02616707783162764,0.020650952928590403,0.045551266711263354,0.10808980471110699,0.023673479317977485,0.1076472062813396,-0.019788832007455414,-0.029728803126080134,-0.03666661360250785,0.028387240991032004,,0.043618052919998776,0.3289652040743897,-0.05611342348493773,-0.008027802421282888,0.016727316992542117,0.029391615090361648,0.041538359528333804,-0.007935097697894068,-0.049424891381951615
ExitSpeed,0.5277658629432337,0.07954957343282727,-0.05339137567334495,0.010881854302009341,-0.004513743379775505,-0.006794295107723441,0.3772096235112458,1.0,0.0413131261815076,0.27054054821924967,-0.07816309313727808,0.016039164870746712,0.01269398879794283,0.00020853264238970953,0.094504266848904,-0.04356790153424333,0.36974936685123483,-0.04575536671542341,-0.20843163190017877,-0.014317818242976154,-0.04559304703111987,0.04135138551891211,-0.009362864333099711,0.035168928613757804,0.045438940280346146,-0.044089915374701166,0.2459994712485821,0.048869615834226755,-0.24149475787754573,0.022398634849643745,-0.021541826048463622,0.15854938116431955,0.09601627309437309,0.022840437268207944,0.037267221094437225,-0.03329348154681549,0.12476608291304862,0.1352413459360187,-0.09947093869069457,0.16288645547192443,-0.1597699454780893,-0.01073550135838536,0.09961535012841767,0.10521124802680844,-0.011144156585549726,0.09586142372739152,0.001830911460400773,-0.1592648107641333,-0.096412228254061,0.02371473933504352,,0.006050615080198498,0.27937656985578957,-0.07421841296697548,-0.03488465346810421,0.029184705192431534,0.10631108680318203,0.033196864597990955,-0.04368240043847147,-0.1009387491323605
Extension,-0.00928301778248944,0.031120027708315883,0.024949468137239958,-0.08822062878493553,0.04671195803279868,0.06240477908528874,0.005825082293377846,0.0413131261815076,1.0,-0.0008176235316634617,-0.011396006861330518,0.046945293738333504,0.17424720765064175,-0.11619706025712966,0.2148991842614063,0.047352959859185084,0.008582174321261774,0.017242354615695052,0.003616833461502793,0.013420517264592233,0.0796536619034277,0.053683806241516724,0.09222454804960503,-0.018319766832578792,0.0571823745723042,0.07276945936073564,-0.13830544053522167,-0.10975838169753305,0.0276389793193277,-0.14470041237110584,0.08115336246703622,0.2751369507377015,-0.006955477426920378,0.16715494490953509,-0.18511703026670842,-0.0860961867226732,0.3318976139575972,0.3348484840584792,-0.18410123100470985,0.2882715975655522,-0.4236119743826747,-0.1725420701634178,0.19509757495626434,0.237350941166494,-0.17559857027601058,0.23458346972605174,0.11695753336260667,-0.2887296304637397,-0.126405122601287,-0.08261952304533471,,-0.17097183722146558,-0.000201726770894752,-0.030857403458798817,-0.027741486495875923,-0.02961869558820449,0.004904325554052857,0.05204300874406278,-0.006252219303713633,0.043906252853236016
HangTime,0.6913507549699486,0.0009189810144932833,-0.03666217040683644,0.020493314570435746,0.016892916224911698,0.02042061066961464,0.9871413433959577,0.27054054821924967,-0.0008176235316634617,1.0,-0.1537618463638244,0.004365398179610825,-0.024143551839496288,0.02300258918424785,0.10399783954459223,-0.03525268848780797,0.9831433915558078,0.01141958708586263,-0.25430023271352686,0.029761406080520164,-0.02812579178972492,0.05499094952396817,-0.01293769212819097,0.0036648246820979546,0.11871684102722888,-0.02212031950351838,0.06305988374546555,0.8953111346901662,0.042840980647046605,0.04680360710935087,-0.025511572405675143,0.02003912212436925,0.09642370093298808,-0.01719608150726751,0.0014668494008792832,-0.025015453858952902,0.09388936072524003,0.07499474911869652,-0.03035239021530167,0.010433890507735428,-0.015358618515661381,0.020776500094060596,0.03989381096066328,0.09951474715310481,0.02437847165174197,0.09908975699795458,-0.019237065901932332,-0.02001032830667876,-0.02377575952720403,0.025018680621960526,,0.04611192685839223,0.297659564852651,-0.05048897335933955,-0.007425497520629402,0.012585445441499527,0.0189977813617364,0.04364424392258244,-0.0019483596762686567,-0.04119529611237469
