,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult
PitchNo,1.0,0.08224727066015855,0.018757272904496834,0.0389112971317232,0.08183246760949801,0.03780524224003446,0.010597522422389148,0.9580696783208061,0.0585852744232392,0.007903746814335363,0.023589685036336246,-0.0003929398787880112,0.015720556283011253,-0.015903323640879236,0.06152610342209482,-0.057340846569104015,-0.00359707479232928,0.013524237389605164,-0.06191597042813136,0.06554988423903232,0.08019499513466469,-0.0420099224453602,-0.058933589621696925,0.04675405589823788,-5.428825467442401e-06,0.04195241613510268,-0.020393288964009437,-0.013836847114643825,-0.028922985768014296,0.006822189952409052,-0.03211195561809899,-0.024041370820422826,0.015123457549044036,0.011318460422792694,0.01035191325714969,-0.007518563612589605,0.03513825854070702,-0.04317835926452962,-0.031321694718964024,0.014940306406632313,-0.03157855431884988,-0.049302231406816825,-0.05761208501177796,-0.06526165804655948,,-0.05405900036594677,0.05467805614961853,0.015217358049488195,0.06124794699003889,-0.05011035108284834,0.011799137356844883,-0.05054430685863368,-0.008420149335601932
PAofInning,0.08224727066015855,1.0,-0.008190384935827735,0.02066944717463364,0.007244573607068265,0.002985708128761221,-0.009257033269610573,-0.005149993908190236,0.6667337563355337,0.001152781350511971,-0.011748085638424848,0.03731073868414721,0.34013913747064084,-0.09285856912202285,0.07795376340954839,0.0037359096210082925,-0.020157263617349402,-0.027104769715648444,-0.03453907283079992,0.008043528162311197,0.039474443560579955,-0.08404549370819576,-0.06904469741952493,-0.013613635026515023,-0.01168775173837388,0.018588608685771595,-0.08953381052846485,-0.06484352505774522,-0.011237623485275879,0.08213332964369008,-0.006283417251517241,-0.009741230943717222,0.009905504343000499,-0.00866890317632938,0.01322431683721729,-0.010988237892250499,0.012025398425052137,-0.0025985413500409765,0.004473587878862488,0.006997840514889132,-0.00953201361836293,0.012596222404886974,-0.06946674084648832,-0.009314783374799764,,-0.021157545012628957,-0.005835789403110603,0.09185520433118495,0.07534817102529376,0.015626374773438638,-0.08045041287474645,-0.06980414949316273,0.020447851928889586
PitchofPA,0.018757272904496834,-0.008190384935827735,1.0,0.021995004318796623,-0.031385432870640405,0.029041485924457957,0.0005672109721870303,-0.005943976838705931,0.0035178507338086665,0.8174928303545046,0.7898991637319474,-0.003077116252249834,0.013308115313987906,-0.022940585082288877,0.01984153146174799,0.039828662439122274,0.05601086894325474,-0.0941477750916466,-0.007401638895068353,-0.020173791102542804,-0.02056353112395712,-0.02941965428504946,-0.025059195998216984,-0.08536990552110099,-0.016024879717286153,-0.036525674938793405,-0.025787881484715294,-0.02823012726698966,-0.04595277628216893,0.027467751399215524,-0.00023413779270042137,0.022124947869404592,-0.012362533438330202,0.03217967161586025,-0.03858984984487618,0.019663756897780344,0.0062858289402956844,0.009121758378213898,-0.0018561469661704038,-0.002506774779204918,0.01879629121854689,0.08133132743541514,-0.02432119256082191,0.017907008001938698,,-0.00398941584311576,-0.03820853251953979,0.023487172738740004,0.015186408542641116,0.08110519135820728,-0.0027265678646266377,-0.019136369527419202,-0.0016651979525889725
PitcherId,0.0389112971317232,0.02066944717463364,0.021995004318796623,1.0,-0.07493662413846652,0.08478566171677628,0.031279832805919554,0.011309541182278643,-0.008156930340700473,0.031938545591344916,0.005534907336404562,-0.031670707369484546,0.04726024259962638,-0.08472070106950642,-0.03470971370675689,0.08468939954844155,-0.08018517210046057,-0.0548586959423314,0.10453153341238404,-0.06944826057428438,0.010620559773775894,-0.009278937110750302,0.039061510370583766,-0.09345109006061728,0.010353067551306215,-0.017359830352933696,-0.08666857513646499,-0.05101746511061127,0.012161015982811907,0.07563627002251576,0.02861768318125814,0.036842362107763114,0.022727963642734467,0.025702959050726108,-0.0035799822557251977,0.008528350071464684,0.008461072170922007,0.04029619947356819,0.03672364775498248,0.02666341601520611,0.03648413996867622,0.09522587339231105,0.03878169471361122,0.0669114867493425,,0.10886143347439448,-0.08861333059190114,0.08588139334707781,-0.03589986278618237,0.10366204269003908,-0.0686410474537012,0.028317536410720826,0.02929557652608841
PitcherThrows,0.08183246760949801,0.007244573607068265,-0.031385432870640405,-0.07493662413846652,1.0,-0.09394669239521605,-0.08449748001196325,0.08333380697470823,0.01061100667638952,-0.03411190085402537,-0.02887414121656963,0.012580439248373945,0.007082187063052778,0.16957726925243705,0.0064904853306776405,-0.8916446650193243,0.15313598348970098,0.26671926085391867,-0.047688921906283654,0.9131523088480945,0.13920672895670247,0.02677733848586936,-0.08733059930101814,0.622619186886875,0.017887541199223544,0.17721911217247302,0.17929816365806006,0.046422018535773886,-0.5823867526081129,-0.17981300808609438,-0.02292354293507167,-0.032682767617830115,0.01698186096808691,-0.04682177529510783,-0.023916339933818805,-0.0017350944205311927,0.0025088832864890182,-0.04442123892697738,-0.05160962689932811,-0.006337549719786649,-0.03636680533940333,-0.671927417341781,-0.07640057414023955,-0.907866030156545,,-0.04669733238104051,0.8901880312953967,-0.17352114383621822,-0.0012417205141082737,-0.6970269283130809,0.131976421253909,-0.040231439889089594,-0.014517015741390518
BatterId,0.03780524224003446,0.002985708128761221,0.029041485924457957,0.08478566171677628,-0.09394669239521605,1.0,-0.11920975446727879,0.040587852204945235,0.016534571881842285,0.02296619400705554,0.030149991269271086,-0.0092777478585488,0.020970900496854638,0.034533087484399455,-0.026967223617344376,0.06833567822872363,-0.00844660664867421,-0.007021363566190972,0.022686527009654556,-0.06427539999509316,-0.021628961081054544,0.04005454788875492,0.04030369984514503,-0.04115595903419258,0.033722624906978145,0.016699568460731756,0.03414296151607711,0.04086247198340961,0.05346280984841832,-0.0291642291781534,-0.04145251972638943,-0.02120666937989474,0.04341019907487166,0.047758773191559474,-0.007765691258982111,-0.008906179472736617,0.015705793878509674,-0.012349877243420446,-0.003538064420092274,0.023852339588095857,-0.010949995396090184,0.045726388938821805,0.038339242175976465,0.06301820180557248,,0.018831265628664925,-0.06955861055929322,-0.032796563893049815,-0.02523221160635868,0.0501788008448019,0.016280603560601837,0.03882502281197086,0.007208946266565035
BatterSide,0.010597522422389148,-0.009257033269610573,0.0005672109721870303,0.031279832805919554,-0.08449748001196325,-0.11920975446727879,1.0,0.013129524531027234,0.00654127604670566,-0.008155148329091595,0.014744939169966565,-0.005969070568071314,-0.00894921641591975,-0.0471005014063019,0.016653514720006483,0.06316827508286564,0.03247307841309263,-0.15990115282872297,0.045350932137552084,-0.10249814432241772,-0.06659709067182666,-0.037575301044322496,-0.018423744996074066,-0.15182701724165795,0.013891617610594022,-0.30879094501959425,-0.047111493294655825,-0.043787864457302934,-0.09514541973767805,0.05491801846794393,-0.0013814796079770239,0.007651041241622271,-0.22597570655200117,0.05113757818559883,0.012860569529965225,0.033632150438126354,0.0309962008746145,0.013121986629216832,0.006777948081064606,-0.05165801923329572,0.020207532508335912,0.14554482250481798,-0.020030996455949975,0.10768750804957462,,0.05235538106202241,-0.05719289145488675,0.04851540125717813,0.01105248943731487,0.13676499297175618,-0.04002395645181125,-0.01958783363594481,0.0035111259676898912
Inning,0.9580696783208061,-0.005149993908190236,-0.005943976838705931,0.011309541182278643,0.08333380697470823,0.040587852204945235,0.013129524531027234,1.0,0.01150547464225453,-0.013760134503991658,0.004595506425589407,0.0018322268787985048,-0.017431199234122487,0.007913173372669417,0.04761905809387727,-0.06738586833244219,0.011215358121485351,0.024264323911766725,-0.05002177355539546,0.07138898680188259,0.048201684257915524,-0.03125135849926375,-0.054660748238577465,0.05977130583849522,-0.0007658748731177705,0.039673512571563554,0.0019105058346330938,-0.00865228824399738,-0.027899244811832216,-0.009972431224712653,-0.0341924027179557,-0.022965234555062216,0.016983235072378887,0.008039535964624738,0.002637019781802472,-0.0083794974534092,0.032896504081497364,-0.041692949812739695,-0.02989658739946189,0.01586606592455151,-0.02939315267338828,-0.06260170755023732,-0.05341370232338222,-0.07063447133838764,,-0.04482463552140152,0.06539517482722476,-0.007955630777511588,0.046248422805504535,-0.06417754100979478,0.0362000775986178,-0.04510113538475267,-0.01707568941302737
Outs,0.0585852744232392,0.6667337563355337,0.0035178507338086665,-0.008156930340700473,0.01061100667638952,0.016534571881842285,0.00654127604670566,0.01150547464225453,1.0,0.016466957896257295,-0.0021657161367975067,-0.004417515324501151,0.08486247890128788,-0.025460487137363118,0.04075757086941792,-0.00681411100356537,0.022790388464325104,-0.023170557799570474,-0.017334443819263037,0.01225100938311005,0.03227056271617255,-0.0443546035753789,-0.05038673787179526,-0.008237002359833023,-0.0063956673050615,-0.002598484775401017,-0.0217296313448001,-0.03491963738308428,-0.020691797562404943,0.02238190185066579,-0.015291389148608487,-0.017233227931241754,-0.00021289437808465683,0.0021813989822645485,0.017969297746862577,-0.014447079734631425,0.005214772966799239,-0.001123120904323871,0.009098382222228054,0.00018557575232834057,-0.008697140140680846,0.0062817737518714575,-0.04934372807276214,-0.01309311839333993,,-0.010091932589072518,0.007917950524402168,0.024774190557942753,0.037082728090963975,0.004277328249689718,-0.024994785640883314,-0.042358535153231555,-0.030786990832272834
Balls,0.007903746814335363,0.001152781350511971,0.8174928303545046,0.031938545591344916,-0.03411190085402537,0.02296619400705554,-0.008155148329091595,-0.013760134503991658,0.016466957896257295,1.0,0.4026337565552369,-0.008258041630147485,0.019860139074601258,0.0894694592460292,-0.08027439591707829,0.023641491926649827,0.04101278432307375,-0.01711568348454729,-0.008681263273070844,-0.02257731472183003,0.026656871686684083,0.10562852826412425,0.09953406042541885,-0.024464819953920674,0.004140249702922792,-0.011435548494336412,0.08220835031571792,0.09588803467337705,0.006104601073847746,-0.08655829469333164,0.055381061534038795,0.04303535536541737,-0.018872031149407813,0.029114585500184403,-0.022192959407981525,0.057596108547345606,-0.002365144803325934,0.038976431193258276,0.017042311862723838,-0.012285754685086596,0.04871398415076597,0.02446314177700472,0.10005950521324859,0.02220903418218284,,-0.024595761498706303,-0.023748862938593115,-0.08859805938697216,-0.07793433267492231,0.026808424231184447,0.08791381174806774,0.10474332350414735,0.0034340110118956046
