,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult
Angle,1.0,0.007048385844727616,-0.06734822884477237,0.00578464402078983,-0.007431521505584633,-0.0008646329527093704,0.7075394927627365,0.5277658629432337,-0.00928301778248944,0.6913507549699486,-0.139694712985437,-0.0025959171319788485,-0.03256084265432348,0.02572914828835967,0.06460098636277689,-0.016957033174347724,0.6968406835012634,-0.01807251044899764,-0.21997768722646296,0.022655645924381865,-0.014034708637005015,0.0317142817804341,-0.01107356657758406,3.058566079360237e-05,0.0005369365140500177,-0.019278100665896847,-0.04677722968611049,0.3010471292853593,-0.009995937531608793,0.016085593702874875,-0.02346926438152131,0.01188591292587298,0.10444733873534623,-0.030377435768676096,0.016025770560679633,-0.031437796739765336,0.03203951417088014,0.04520815031913617,-0.0438116108640317,0.0062720860283367,-0.00690179448396554,0.0300510064661315,0.02910312507247945,0.06670096622388406,0.032613535924500885,0.06343539617051694,-0.023001626426283818,-0.012176906400672557,-0.04447366352347166,0.022549106600070958,,0.00861757855020489,0.28230602024109014
Balls,0.007048385844727616,1.0,0.011711206536530617,-0.0036577479608374797,-0.022285556908777485,-0.03123637262532072,0.008830553484027918,0.07954957343282727,0.031120027708315887,0.0009189810144932833,0.020517454043986607,-0.0002632368322743688,-0.028951727324204292,0.02344310275925561,0.08636065589803442,0.007140083870448973,0.006935749771741045,0.011478035335687892,-0.04475898972374405,-0.0013148871169956003,0.030483576648493164,0.022299831520086567,-0.026854039634489246,0.8150706220129063,0.01458561024886619,-0.012938664254608902,-0.044063909991603326,-0.0967872732166156,0.23599733232880077,0.025106713826671703,-0.020675238830601704,0.1122627865350863,0.055914838737127624,-0.027781301000443855,0.06018213138565564,0.38368420106833434,0.08388631660380191,0.10594186988519985,-0.09023330707069571,0.1034278792391159,-0.10740151521502153,0.02514384803731593,0.11605000644351782,0.09407694293370189,0.028237324584001886,0.08867621296841093,-0.020883391682541552,-0.11122598355506041,-0.08854146715510217,0.019910800106014637,,0.011117471921915466,0.04266039952856019
BatterId,-0.06734822884477237,0.011711206536530617,1.0,-0.08489221716503292,0.04885261987830882,0.058856836780289586,-0.04632547118652481,-0.05339137567334494,0.024949468137239958,-0.03666217040683644,0.07674608690425716,0.026300190618916586,-0.04132827148231448,0.051135004743421406,0.03928016441874543,0.0709283209526076,-0.044967377538035196,0.01966956940782792,0.02200633597236323,-0.006721790287737323,0.07262510204998761,0.1767561594423587,-0.07087699928120388,0.024970423319575843,0.04370595045172707,0.008217907743469156,0.0922712931504664,-0.07474910161938252,-0.15515437424727382,0.01319216977451949,-0.04408153451009451,0.056392979443562884,-0.005176353880705811,-0.02143725844426514,0.03593751768339369,0.03322974026329407,0.056984096005762305,0.05183952727967394,-0.028357558385086763,0.05831334549626845,-0.05714034900465054,0.04162943710939277,0.030961693417702555,0.04295159857356819,0.044122403775409505,0.038642735294806316,-0.04978312987772401,-0.05589026260611818,-0.025105391159032892,0.042611535200846984,,0.009793411151140649,-0.033474955713973895
BatterSide,0.00578464402078983,-0.0036577479608374797,-0.08489221716503292,1.0,-0.3225394869907045,-0.4243444832629948,0.02460668391077544,0.010881854302009332,-0.08822062878493554,0.02049331457043576,0.0347333876207626,-0.12693410575781916,-0.11155021006016429,0.010551414406966506,-0.008792340294515696,0.01208056531140985,0.026498378852124634,-0.005461875925321082,-0.014138688900711719,-0.005790398052804603,0.008353585708027167,0.04575990666141201,-0.046614424308824516,0.0014757780919864003,0.010624666787959475,-0.3743460107500279,-0.16395087125505853,0.02292839590309968,0.09975379972928784,0.0500824031904413,-0.07871704621186243,-0.037466515859482914,-0.01737273186137608,-0.14144406097943352,0.07025856858990971,0.018631544515674135,-0.038836391455565944,-0.028828798065061785,0.005296910552116788,-0.03695862519738049,0.05027001684811079,0.09400897529040328,-0.03535726788774264,-0.00626329765502598,0.10289010515137628,-0.010426687297679817,-0.004683832842634312,0.03929366729651538,-0.002664597354061404,0.08782574630822529,,0.05473341633117854,0.012704510430094624
Bearing,-0.007431521505584633,-0.022285556908777485,0.04885261987830882,-0.3225394869907045,1.0,0.9563326086007731,0.01256992573513506,-0.0045137433797755155,0.046711958032798755,0.016892916224911694,-0.030130391307225692,-0.11639094228044086,-0.023495563924658503,-0.05647686869070019,0.015226688261163931,-0.007886629227569605,0.01131230672856114,0.008122556142842949,0.01646421626779776,0.011023792144993175,-0.007567116105692982,0.03401640458394991,0.010143620795081675,-0.013571273823695005,-0.003883318016944552,-0.2246130675647555,-0.18602248839024754,-0.11192446965898394,0.9996120110415897,-0.022870336820631377,0.01186036845755961,0.023386591963320942,0.048061516337875226,0.0007227809420929131,-0.0107298072447368,0.00734465680359122,0.025643384644863827,0.02195539069829903,-0.009022595173627598,0.020229647981139978,-0.026660738979414893,0.01820890676994886,0.027773589909078116,0.017601393893455736,0.014596631111916695,0.016209738238761068,0.06174141841031762,-0.022516264677685194,-0.0055931929915402,-0.006611662592062788,,-0.025807552590552573,-0.023542409308118066
Direction,-0.0008646329527093704,-0.03123637262532072,0.058856836780289586,-0.4243444832629948,0.9563326086007731,1.0,0.016004437365358556,-0.006794295107723438,0.062404779085288686,0.02042061066961465,-0.03493279777656577,-0.04025763455404315,0.024767508213859143,-0.047206730732688496,0.02153977818684836,-0.0028733591647023497,0.01461122195788348,0.004336943266449226,0.021503949945179717,0.014242232679532207,-0.0036709870480470612,0.032525706224313104,0.02649697327162114,-0.02756955392467439,-4.5101316490420006e-05,-0.038615193551532846,-0.18731235276472888,-0.09921226601047577,0.9947638634670902,-0.034157317237068,0.0358594552455012,0.04018155433952139,0.047563060104671095,0.047579613016219574,-0.024512510750947285,-0.006991645120923887,0.0420932443630282,0.03428203348101922,-0.012126876141489669,0.037158760128581554,-0.044866218139561334,-0.02378779494133913,0.04119469852063927,0.024589654526745126,-0.02821290669344902,0.02235210680206185,0.04925737980523974,-0.039956007076811385,-0.007728617316590407,-0.03474654775789119,,-0.03858944389895307,-0.028412363727173214
Distance,0.7075394927627365,0.008830553484027918,-0.04632547118652481,0.02460668391077544,0.01256992573513506,0.016004437365358556,1.0,0.3772096235112456,0.005825082293377824,0.9871413433959576,-0.1755039722772058,0.006462937227393788,-0.023271761768315392,0.023668564588871014,0.1118789450267427,-0.042977705469339385,0.9944702786890053,0.006154090913595164,-0.27831060484954995,0.024966978304687953,-0.03575159011956434,0.06055878423939933,-0.01586716268873096,0.00409834982673163,0.1077514523347393,-0.027477971904795836,0.20246234410768055,0.9549610791094538,-0.11290195364675555,0.04680815269587821,-0.028626222644250725,0.029773257000019496,0.10555421559644187,-0.013999843995063549,-0.00043412271383105595,-0.03161943907992948,0.09775956890495299,0.08522213933253509,-0.04333244732990927,0.020525844094053385,-0.026167077831627618,0.02065095292859041,0.04555126671126334,0.10808980471110696,0.02367347931797748,0.10764720628133959,-0.01978883200745542,-0.029728803126080148,-0.03666661360250784,0.028387240991031987,,0.04361805291999877,0.3289652040743897
ExitSpeed,0.5277658629432337,0.07954957343282727,-0.05339137567334494,0.010881854302009332,-0.0045137433797755155,-0.006794295107723438,0.3772096235112456,1.0,0.04131312618150764,0.2705405482192496,-0.07816309313727812,0.016039164870746685,0.012693988797942826,0.00020853264238970522,0.09450426684890399,-0.043567901534243336,0.36974936685123483,-0.045755366715423414,-0.20843163190017877,-0.014317818242976146,-0.04559304703111986,0.04135138551891211,-0.009362864333099715,0.035168928613757776,0.045438940280346174,-0.04408991537470113,0.2459994712485822,0.04886961583422662,-0.24149475787754565,0.022398634849643755,-0.02154182604846361,0.15854938116431957,0.09601627309437302,0.022840437268207947,0.03726722109443722,-0.03329348154681549,0.12476608291304861,0.13524134593601866,-0.09947093869069457,0.16288645547192437,-0.1597699454780892,-0.010735501358385384,0.0996153501284176,0.10521124802680842,-0.011144156585549734,0.09586142372739147,0.0018309114604007765,-0.1592648107641332,-0.09641222825406098,0.023714739335043505,,0.006050615080198482,0.2793765698557895
Extension,-0.00928301778248944,0.031120027708315887,0.024949468137239958,-0.08822062878493554,0.046711958032798755,0.062404779085288686,0.005825082293377824,0.04131312618150764,1.0,-0.0008176235316634463,-0.011396006861330524,0.04694529373833357,0.1742472076506417,-0.1161970602571296,0.21489918426140628,0.047352959859185056,0.00858217432126178,0.017242354615695076,0.0036168334615028145,0.013420517264592244,0.07965366190342765,0.05368380624151672,0.09222454804960507,-0.018319766832578792,0.057182374572304184,0.07276945936073562,-0.1383054405352216,-0.10975838169753292,0.027638979319327635,-0.1447004123711059,0.08115336246703626,0.27513695073770156,-0.0069554774269203834,0.16715494490953525,-0.1851170302667085,-0.08609618672267323,0.3318976139575972,0.33484848405847917,-0.1841012310047099,0.28827159756555226,-0.42361197438267434,-0.1725420701634178,0.19509757495626429,0.23735094116649408,-0.1755985702760106,0.23458346972605165,0.11695753336260667,-0.28872963046373973,-0.126405122601287,-0.0826195230453347,,-0.17097183722146556,-0.00020172677089475626
HangTime,0.6913507549699486,0.0009189810144932833,-0.03666217040683644,0.02049331457043576,0.016892916224911694,0.02042061066961465,0.9871413433959576,0.2705405482192496,-0.0008176235316634463,1.0,-0.15376184636382445,0.004365398179610836,-0.024143551839496284,0.023002589184247843,0.10399783954459223,-0.03525268848780798,0.9831433915558078,0.011419587085862635,-0.2543002327135268,0.029761406080520164,-0.028125791789724908,0.05499094952396817,-0.012937692128190978,0.003664824682097958,0.11871684102722885,-0.02212031950351838,0.06305988374546549,0.8953111346901665,0.042840980647046494,0.04680360710935088,-0.02551157240567515,0.02003912212436926,0.09642370093298808,-0.0171960815072675,0.0014668494008792728,-0.02501545385895292,0.09388936072524003,0.07499474911869654,-0.03035239021530166,0.010433890507735428,-0.015358618515661358,0.020776500094060606,0.039893810960663315,0.09951474715310478,0.02437847165174197,0.09908975699795454,-0.019237065901932325,-0.020010328306678756,-0.02377575952720403,0.02501868062196052,,0.046111926858392195,0.297659564852651
