,Unnamed: 0,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult
Unnamed: 0,1.0,0.01708134536004706,-0.04227916357543282,0.022897627406926264,0.25713039832621054,-0.24395040215491506,0.23744313206301051,0.04864232276822051,0.04736122044638328,-0.019875345950309743,-0.004176605956897048,0.042669495609615554,0.0116293084202081,-0.01520294902066349,-0.07004198178739134,-0.05364590028535347,0.16001161745246562,-0.01524955382434059,-0.06663228642414797,0.15782850393625714,-0.1617502703860753,-0.18584921605012858,-0.017975530438420106,0.04846308646420098,-0.1397292651547386,0.0057633998662866455,-0.06566043723683458,-0.07571231103721192,-0.0775408070007879,0.07673823316524525,0.10132431790522173,0.014614097058440138,0.061289146149452876,0.02447607674606477,0.18027353382564412,-0.026235843971998435,0.05429195495436082,0.03216852656041874,0.020971630927394357,-0.017126070512511728,0.03737910759639101,0.06047186031957204,0.14548334464307264,0.04349747209288471,0.16051817828901413,,0.16032989778369475,-0.16094601402149994,0.07589401230804169,-0.06627079838053478,0.15274125642548372,-0.055981097018735854,0.03411571679443316,
PitchNo,0.01708134536004706,1.0,0.08710748297007395,-0.008894525035953999,0.031009976399913174,0.12164438692585124,0.010117982205153727,0.00830167532234762,0.9587826074584039,0.05595385120788992,-0.02378385537158572,0.003181716540347915,-0.01800483649794431,0.027140534599827487,-0.03585191322942725,0.08571383227377653,-0.09790990028850007,0.006839391752193268,0.03257242843827854,-0.07029993007943884,0.10394137650912268,0.06940839108526456,-0.06345052462060989,-0.07683154024554234,0.07892039961329905,0.007814867818320383,0.04380089570551923,-0.04105662476181613,-0.024196987916513722,-0.0553524899043138,0.027606696999079524,-0.023774320635423427,-0.004000586936346966,0.03468742896430858,0.0036438588250462534,1.9282009886893459e-07,-0.010769677170325762,0.03289702063111034,-0.045382485982460426,-0.015271227050005647,0.030650963907529347,-0.02509217625042237,-0.08312152553520723,-0.07629566722388205,-0.1029259966442495,,-0.058910289110869485,0.09376231101732116,0.035071426347030386,0.0837760521819163,-0.08335620513618948,-0.0001261753957589472,-0.06772615070354561,
PAofInning,-0.04227916357543282,0.08710748297007395,1.0,-0.013520515226189389,0.014413185016632982,0.021924365847607506,-0.0032871095472055334,-0.011448399342123102,-0.0056086248143766195,0.6725890780050642,-0.0029107329827015287,-0.0189471304700364,0.019967714867091237,0.3729831293355147,-0.0852617291974211,0.07862477307147685,-0.013582053332223818,-0.01957318593896595,-0.006986479754519325,-0.052078684544430535,0.016491785623800145,0.06007263089580662,-0.07299700693537423,-0.061421986523551526,0.0031821989354476085,-0.006194595197489078,-0.0010106032431701972,-0.07855509308697453,-0.04551925798819956,-0.01812142785205403,0.06886020155207574,0.007969929889687742,-0.013341372841533144,0.01758807010846537,-0.012629053272949897,0.012687123989894687,-0.010134579089853272,0.01866289052741245,0.010456503394854369,0.019236682668803698,0.01597355710975972,-0.005646216927781136,-0.004311826899992653,-0.06257123127155831,-0.016504881554372373,,-0.040436768382387626,0.010976767816944745,0.08349860350115317,0.07805500090137386,-0.00024890000279519954,-0.08741232821914437,-0.06378650789337233,
PitchofPA,0.022897627406926264,-0.008894525035953999,-0.013520515226189389,1.0,0.022530203103401078,-0.028047151185400413,0.03584666306962515,-0.006911153721624341,-0.034510940850425456,0.0030619036862511656,0.8222846369559482,0.7909153937177379,0.02453446656647547,-0.0038412028192668255,-0.01622951402166389,0.018086218081792643,0.03258400103758199,0.036532997906819464,-0.07612116188833225,-0.0378809886931026,-0.014317118572418156,-0.012584992388125616,-0.01475263779900091,-0.006814680566605302,-0.06944154565840453,-0.02413189193139658,-0.021268836310829854,-0.020988543135382877,-0.005860038531178477,-0.037106013020264214,0.020770123727973145,-0.030937959368463885,0.03294733387912515,0.002130584067582118,0.036630318997584344,-0.038030286762013504,0.023462598919307114,0.004830742479534089,-0.01385801538543937,-0.033200374880839364,0.003498390831768965,0.01964882631078605,0.0658475498619498,-0.00702854971896412,0.01224201759576732,,-0.03764965842648539,-0.03212922633433734,0.016962346338690815,0.013718213958804711,0.06702330611077015,0.004473040058548243,-0.002035616940053513,
PitcherId,0.25713039832621054,0.031009976399913174,0.014413185016632982,0.022530203103401078,1.0,-0.07381505770398444,0.09081673122719944,0.027288692742251944,0.004351867875130167,-0.01607481948058864,0.03107934911409943,0.007471146764201992,-0.03064350065175498,0.03646857831456038,-0.11743278699521147,-0.009469239665600515,0.08818389114574648,-0.098657258021685,-0.07340231724495207,0.09263078912101169,-0.06585403252300255,0.008426538454310234,-0.04074987344621623,0.015120129352263537,-0.11258333742445903,0.00031267138821226094,-0.01963957744114678,-0.1201958166434297,-0.07924163709335957,-0.0042516294295058,0.10694564075086133,0.0025612027648122897,0.029300694461252476,0.0032750332464522532,0.02638705957154054,-0.009362141247217575,0.022890593339117415,0.009440609068228627,0.01875015064367321,0.004713478858334164,0.012656821663241948,0.030504693520121924,0.11267454369259633,0.014678669076769287,0.06262799864684568,,0.10055711794787867,-0.09311567776462636,0.11886483223606609,-0.011893275473491794,0.12281958404072493,-0.0904511322259869,0.0016732572462151223,
PitcherThrows,-0.24395040215491506,0.12164438692585124,0.021924365847607506,-0.028047151185400413,-0.07381505770398444,1.0,-0.08968734665872584,-0.11409848042656842,0.11614691724925505,0.006212425718990043,-0.032009947266086414,-0.03500943160020599,-0.010751052504233737,0.018894295267195216,0.18480213006573823,0.015987797601549652,-0.8989096510179099,0.1671533962649186,0.3228218377596117,-0.05880410781083014,0.9155091986829169,0.15908666952781153,0.02546323794393102,-0.10402244669914115,0.664364976692532,0.024881549496609433,0.19889197779328355,0.19381921119721163,0.05365655380232299,-0.5846888779886065,-0.19531739559029246,-0.024338795182250354,-0.01856583879762174,0.02236798826287098,-0.030682155305124192,-0.015565735848493224,-0.016251367089516904,0.005266347858285786,-0.03981667133492039,-0.04264930866929009,-0.007468487230235238,-0.0303617553024055,-0.7094201001172469,-0.09121676910091198,-0.9103141882510852,,-0.055993217485988296,0.8971945111647472,-0.18859601576723295,0.006183494729349469,-0.7331070068829509,0.1472413971120104,-0.044495362456498065,
BatterId,0.23744313206301051,0.010117982205153727,-0.0032871095472055334,0.03584666306962515,0.09081673122719944,-0.08968734665872584,1.0,-0.14766720331131605,0.02061173398252146,0.012858156250821498,0.03037051015815195,0.030933876087270523,-0.028578612685374327,0.024461928163522655,0.019006670509815304,-0.023626854618959307,0.06415712637995956,-0.05189012002886033,-0.010060881401855716,0.017743591664858737,-0.058512923323797913,-0.029199878172731477,0.030119691697259653,0.0358346817516922,-0.041079226386784816,0.01699130105610812,0.019911118381834462,0.018995870791449505,0.027488093963749433,0.050307073949419294,-0.014083601483944838,-0.027113468377593385,0.008705808205116154,0.025268187611751765,0.04049145834854998,-0.014801825346124108,0.004046721566900922,0.013286100748223555,-0.019062064424082578,-0.00749198348484506,0.0036095871993716212,-0.0024024793364933244,0.04509370342777462,0.03354108322086086,0.05743065398169071,,0.013474853338727593,-0.06767259114515721,-0.017372015969815933,-0.022142889986769006,0.05366019045125063,0.0019844743169271746,0.03270134860155532,
BatterSide,0.04864232276822051,0.00830167532234762,-0.011448399342123102,-0.006911153721624341,0.027288692742251944,-0.11409848042656842,-0.14766720331131605,1.0,0.010486852995085859,0.009790809671272015,-0.030352635992806132,0.019922919469199517,0.006350527773415043,-0.023486276481568424,-0.062358283852816075,0.029653544869960455,0.10207788150306597,0.006456841466517307,-0.18326715970269802,0.03420072277619451,-0.1207124074486649,-0.053352156891183514,-0.059486151147161034,-0.0425520734151388,-0.18689561377587505,-0.00537843222610617,-0.26918277688163667,-0.061784873914961305,-0.06791090410360429,-0.07898096445790254,0.06711101330275508,-0.02164118591437258,0.024951807761003805,-0.0642411100042648,0.04728545314213159,0.005081892297814191,0.03253946399017026,0.033624138678092476,0.025231676557959905,0.005173179250508234,0.10620320524673203,0.03700633635398934,0.18121947658441717,-0.0434070353296722,0.12310762675045897,,0.0428930249063783,-0.09584188643803121,0.06353555178157042,0.025042318032529164,0.17215323926434317,-0.05093066096928538,-0.04617699673116201,
Inning,0.04736122044638328,0.9587826074584039,-0.0056086248143766195,-0.034510940850425456,0.004351867875130167,0.11614691724925505,0.02061173398252146,0.010486852995085859,1.0,0.006203694243567454,-0.044161676391348555,-0.018921060589303627,-0.016001272776245717,-0.005828499348304213,-0.013482324581760022,0.07058392486784211,-0.10233897683102655,0.019442138879353612,0.04207472789433353,-0.05544342260778118,0.10493936141774972,0.036284051153372146,-0.05319043517604324,-0.07132170887111998,0.08812922413063969,0.006302338521181686,0.04348555159416687,-0.02044075164661311,-0.021247599966624075,-0.05039225089788661,0.013383105200018165,-0.026580891246698594,-0.008333561230876904,0.03027657708363136,0.0033316663543408913,-0.004722641094571774,-0.015446327787808542,0.028013820129502785,-0.04434890555796459,-0.011747868629107303,0.026349659698488407,-0.026629247837607336,-0.09239772597575512,-0.07102580563316303,-0.10369219499330698,,-0.04664898898646651,0.09914670945696943,0.013444709055033319,0.06728278324565827,-0.09366813302125118,0.02386859081548802,-0.06107732003629646,
Outs,-0.019875345950309743,0.05595385120788992,0.6725890780050642,0.0030619036862511656,-0.01607481948058864,0.006212425718990043,0.012858156250821498,0.009790809671272015,0.006203694243567454,1.0,0.009202753525243614,0.001636878449888178,0.008705077431730494,0.113247511895138,-0.007186229677619013,0.02511603571445246,-0.005318071359096548,0.010080292448763052,-0.0036283473441830823,-0.015287493840708304,-0.0021663026412601515,0.05170476858579683,-0.026639359877822507,-0.03662955495707025,0.008613509788981934,-0.006807049380737187,-0.016656379744210983,-0.0009410020049272689,-0.021453846973999813,0.0021166784125718793,0.0028691789170305878,-0.00031117779757044116,-0.018318454378420588,0.009414401058816437,0.00791949121119729,0.016400226038436095,-0.013202407781970908,0.011727032312541049,0.008499878461660745,0.02178679157916099,0.009826391191126943,-0.007325407757908204,-0.00829765206972473,-0.03522671158449345,0.0028428481425293232,,-0.01065303404681449,0.006456074169291205,0.006013825139641429,0.020702369884992192,-0.010726144100050756,-0.018883264192750847,-0.026092232811702552,
